ID	NomCommune	NomNormalise	NomCanton	INSEE	NCC
DT73-01016	Bonvillaret	BONVILLARET	canton d’Aiguebelle	73049	BONVILLARET
DT73-01109	Bourdeau	BOURDEAU	canton de La Motte-Servolex	73050	BOURDEAU
DT73-01132	Bourget-du-Lac	BOURGET-DU-LAC	canton de La Motte-Servolex	73051	BOURGET-DU-LAC
DT73-01133	Bourget-en-Huile	BOURGET-EN-HUILE	canton de la Rochette	73052	BOURGET-EN-HUILE
DT73-01138	Bourgneuf	BOURGNEUF	canton de Chamoux	73053	BOURGNEUF
DT73-01140	Bourg-Saint-Maurice	BOURG-SAINT-MAURICE	Moûtiers	73054	BOURG-SAINT-MAURICE
DT73-01180	Bozel	BOZEL	Moûtiers	73055	BOZEL
DT73-01188	Bramans	BRAMANS	canton de Lanslebourg	73056	BRAMANS
DT73-01229	Brides-les-Bains	BRIDES-LES-BAINS	canton de Bozel	73057	BRIDES-LES-BAINS
DT73-01230	Bridoire	BRIDOIRE	canton du Pont-de-Beauvoisin	73058	BRIDOIRE
DT73-01238	Brison-Saint-Innocent	BRISON-SAINT-INNOCENT	canton d’Aix-les-Bains	73059	BRISON-SAINT-INNOCENT
DT73-01480	Césarches	CESARCHES	canton d’Albertville	73061	CESARCHES
DT73-01484	Cessens	CESSENS	canton d’Albens	73062	CESSENS
DT73-01487	Cevins	CEVINS	canton d’Albertville	73063	CEVINS
DT73-01549	Challes-les-Eaux	CHALLES-LES-EAUX	canton de Chambéry	73064	CHALLES-LES-EAUX
DT73-01561	Chambéry	CHAMBERY		73065	CHAMBERY
DT73-01567	Chambre	CHAMBRE	Saint-Jean-de-Maurienne	73067	CHAMBRE
DT73-01580	Chamousset	CHAMOUSSET	canton de Chamoux	73068	CHAMOUSSET
DT73-01596	Champagneux	CHAMPAGNEUX	canton de Saint-Genix	73070	CHAMPAGNEUX
DT73-01686	Chanaz	CHANAZ	canton de Ruffieux	73073	CHANAZ
DT73-01725	Chapelle	CHAPELLE	canton de La Chambre	73074	CHAPELLE
DT73-01738	Chapelle-Blanche	CHAPELLE-BLANCHE	canton de La Rochette	73075	CHAPELLE-BLANCHE
DT73-01740	Chapelle-du-Mont-du-Chat	CHAPELLE-DU-MONT-DU-CHAT	canton de La Motte-Servolex	73076	CHAPELLE-DU-MONT-DU-CHAT
DT73-01741	Chapelles	CHAPELLES	canton de Bourg-Saint-Maurice	73077	CHAPELLES
DT73-01744	Chapelle-Saint-Martin	CHAPELLE-SAINT-MARTIN	canton d’Yenne	73078	CHAPELLE-SAINT-MARTIN
DT73-01907	Chateauneuf	CHATEAUNEUF	canton de Chamoux	73079	CHATEAUNEUF
DT73-01911	Chatel	CHATEL	canton de Saint-Jean-de-Maurienne	73080	CHATEL
DT73-01921	Chatelard	CHATELARD	Chambéry	73081	CHATELARD
DT73-02015	Chavanne	CHAVANNE	canton de Montmélian	73082	CHAVANNE
DT73-02203	Chignin	CHIGNIN	canton de Montmélian	73084	CHIGNIN
DT73-02206	Chindrieux	CHINDRIEUX	canton de Ruffieux	73085	CHINDRIEUX
DT73-02285	Cléry	CLERY	canton de Grésy-sur-Isère	73086	CLERY
DT73-02356	Cognin	COGNIN	canton de La Motte-Servolex	73087	COGNIN
DT73-02358	Cohennoz	COHENNOZ	canton d’Ugines	73088	COHENNOZ
DT73-02370	Coise-Saint-Jean-Pied-Gauthier	COISE-SAINT-JEAN-PIED-GAUTHIER	canton de Chamoux	73089	COISE-SAINT-JEAN-PIED-GAUTHIER
DT73-02597	Compôte	COMPOTE	canton du Châtelard	73090	COMPOTE
DT73-02606	Conjux	CONJUX	canton de Ruffieux	73091	CONJUX
DT73-02634	Corbel	CORBEL	canton des Echelles	73092	CORBEL
DT73-02721	Côte-d’Aime	COTE-D’AIME	canton d’Aime	73093	COTE-D’AIME
DT73-02883	Crest-Voland	CREST-VOLAND	canton d’Ugines	73094	CREST-VOLAND
DT73-03019	Croix-de-la-Rochette	CROIX-DE-LA-ROCHETTE	canton de La Rochette	73095	CROIX-DE-LA-ROCHETTE
DT73-03060	Cruet	CRUET	canton de Saint-Pierre-d’Albigny	73096	CRUET
DT73-03225	Déserts	DESERTS	canton de Chambéry	73098	DESERTS
DT73-03230	Détrier	DETRIER	canton de La Rochette	73099	DETRIER
DT73-03260	Domessin	DOMESSIN	canton de Pont-de-Beauvoisin	73100	DOMESSIN
DT73-03287	Doucy-en-Bauges	DOUCY-EN-BAUGES	canton du Châtelard	73101	DOUCY-EN-BAUGES
DT73-03326	Dullin	DULLIN	canton de Pont-de-Beauvoisin	73104	DULLIN
DT73-03361	Echelles	ECHELLES	Chambéry	73105	ECHELLES
DT73-03374	Ecole	ECOLE	canton du Châtelard	73106	ECOLE
