article,output6.xml,DT79.xml
DT79-01194,commune de Saint-Marsault.,commune de S            t-Marsault.
DT79-01195,commune de Saint-Marsault.,commune de S            t-Marsault.
DT79-01215,commune de Saint-Aubin-de-Baubigné.,commune de S            t-Aubin-de-Baubigné.
DT79-01216,commune de Saint-Aubin-le-Cloud.,commune de S            t-Aubin-le-Cloud.
DT79-01217,commune de Saint-Martin-de-Saint-Maixent.,commune de S            t-Martin-de-St-Maixent.
DT79-01218,commune de Saint-Martin-lez-Melle.,commune de S            t-Martin-lez-Melle.
DT79-01219,commune de Saint-Pardoux.,commune de S            t-Pardoux.
DT79-01220,commune de Saint-Pompain.,commune de S            t-Pompain.
DT79-01221,commune de Saint-Clémentin.,commune de S            t-Clémentin.
DT79-01233,commune de Saint-Marsault.,commune de S            t-Marsault.
DT79-01235,commune de Sainte-Gemme.,commune de S            te-Gemme.
DT79-01254,commune de Saint-Liguaire.,commune de S            t-Liguaire.
DT79-01258,commune de Saint-Gelais.,commune de S            t-Gelais.
DT79-01261,commune de Saint-Aubin-le-Cloud.,commune de S            t-Aubin-le-Cloud.
DT79-01264,commune de Saint-Porchaire.,commune de S            t-Porchaire.
DT79-01269,commune de Saint-Coutant.,commune de S            t-Coutant.
DT79-01272,commune de Saint-Maurice-la-Fougereuse.,commune de S            t-Maurice-la-Fougereuse.
DT79-01274,commune de Saint-Martin-de-Sanzay.,commune de S            t-Martin-de-Sanzay.
DT79-01276,commune de la Chapelle-Saint-Étienne.,commune de la Chapelle-S            t-Étienne.
DT79-01279,commune de Saint-Jouin-sous-Châtillon.,commune de S            t-Jouin-sous-Châtillon.
DT79-01282,commune de Coulonges-Thouarsais ; ,commune de Coulonges-Th.          ; 
DT79-01283,commune de Saint-Jouin-les-Marnes.,commune de S            t-Jouin-les-Marnes.
DT79-01292,commune de Saint-Jouin-sous-Châtillon.,commune de S            t-Jouin-sous-Châtillon.
DT79-01307,commune de la Chapelle-Saint-Laurent.,commune de la Chapelle-S            t-Laurent.
DT79-01308,commune de la Chapelle-Saint-Étienne.,commune de la Chapelle-S            t-Étienne.
DT79-01315,commune de Saint-Léger-lez-Melle.,commune de S            t-Léger-lez-Melle.
DT79-01323,commune de Saint-Maurice-la-Fougereuse.,commune de S            t-Maurice-la-Fougereuse.
DT79-01344,commune de Saint-Christophe.,commune de S            t-Christophe.
DT79-01345,commune de Saint-Martin-de-Saint-Maixent.,commune de S            t-Martin-de-St-Maixent.
DT79-01347,commune de Saint-Pardoux.,commune de S            t-Pardoux.
DT79-01357,commune de Sainte-Blandine.,commune de S            te-Blandine.
DT79-01360,"communes de Saint-Vincent, Maisonnais et Gournay.","communes de St-Vincent, Maisonnais et Gournay."
DT79-01363,commune de Saint-Aubin-du-Plain.,commune de S            t-Aubin-du-Plain.
DT79-01366,commune de Saint-Rémy ; ,commune de S            t-Rémy ; 
DT79-01379,commune de Saint-Martin-d’Augé.,commune de S            t-Martin-d'Augé.
DT79-01387,commune de Saint-Aubin-de-Baubigné.,commune de S            t-Aubin-de-Baubigné.
DT79-01388,commune de Saint-Génard.,commune de S            t-Génard.
DT79-01395,commune du Puy-Saint-Bonnet.,commune du Puy-S            t-Bonnet.
DT79-01400,"commune de Saint-Pierre de Chey, ","commune de S            t-Pierre de Chey, "
DT79-01401,commune de Saint-Génard.,commune de S            t-Génard.
DT79-01404,"Saint-Maixent, ","St-Maixent, "
DT79-01406,commune de la Chapelle-Saint-Étienne.,commune de la Chapelle-S            t-Étienne.
DT79-01411,commune de Saint-Marc-la-Lande.,commune de S            t-Marc-la-Lande.
DT79-01412,commune de Saint-Sauveur.,commune de S            t-Sauveur.
DT79-01417,commune de Saint-Maxire.,commune de S            t-Maxire.
DT79-01419,commune de Saint-Pardoux.,commune de S            t-Pardoux.
DT79-01420,commune de Sainte-Ouenne.,commune de S            te-Ouenne.
DT79-01428,"commune de Saint-Varent, relev. de Thouars, ","commune de S            t-Varent, relev. de Thouars, "
DT79-01437,commune de Saint-Paul-en-Gâtine.,commune de S            t-Paul-en-Gâtine.
DT79-01438,"commune de Sainte-Néomaye, relev. de la châtellenie de S","commune de S            te-Néomaye, relev. de la châtellenie de S"
DT79-01440,commune de Saint-Marsault.,commune de S            t-Marsault.
DT79-01442,commune de Saint-Pardoux.,commune de S            t-Pardoux.
DT79-01443,commune de Saint-Pierre-à-Champ.,commune de S            t-Pierre-à-Champ.
DT79-01449,commune de Saint-Génard.,commune de S            t-Génard.
DT79-01450,commune de Sainte-Soline.,commune de S            t-Soline.
DT79-01461,commune de Saint-Amand-sur-Sèvre.,commune de S            t-Amand-sur-Sèvre.
DT79-01462,commune de Saint-Pardoux.,commune de S            t-Pardoux.
DT79-01469,commune de Saint-Coutant.,commune de S            t-Coutant.
DT79-01482,commune de Saint-Aubin-de-Baubigné.,commune de S            t-Aubin-de-Baubigné.
DT79-01483,commune de Saint-Jouin-sous-Châtillon.,commune de S            t-Jouin-sous-Châtillon.
DT79-01484,commune de Saint-Porchaire.,commune de S            t-Porchaire.
DT79-01488,commune du Puy-Saint-Bonnet.,commune du Puy-S            t-Bonnet.
DT79-01493,commune du Puy-Saint-Bonnet.,commune du Puy-S            t-Bonnet.
DT79-01495,commune du Puy-Saint-Bonnet.,commune du Puy-S            t-Bonnet.
DT79-01502,commune de Saint-Aubin-du-Plain.,commune de S            t-Aubin-du-Plain.
DT79-01510,commune de Saint-Aubin-le-Cloud.,commune de S            t-Aubin-le-Cloud.
DT79-01511,commune de Saint-Pardoux.,commune de S            t-Pardoux.
DT79-01520,commune de Sainte-Ouenne.,commune de S            te-Ouenne.
DT79-01525,commune de Saint-Marsault.,commune de S            t-Marsault.
DT79-01526,commune de Saint-Porchaire.,commune de S            t-Porchaire.
DT79-01533,commune de Saint-Aubin-de-Baubigné.,commune de S            t-Aubin-de-Baubigné.
DT79-01534,commune de Saint-Varent.,commune de S            t-Varent.
DT79-01542,commune de Saint-Martin-de-Sanzay.,commune de S            t-Martin-de-Sanzay.
DT79-01544,commune de Saint-André-sur-Sèvre.,commune de S            t-André-sur-Sèvre.
DT79-01545,commune de Saint-Porchaire.,commune de S            t-Porchaire.
DT79-01546,commune de Saint-Sauveur.,commune de S            t-Sauveur.
DT79-01547,commune de Saint-Aubin-de-Baubigné.,commune de S            t-Aubin-de-Baubigné.
DT79-01548,commune de Sainte-Ouenne.,commune de S            te-Ouenne.
DT79-01556,commune de Saint-Georges-de-Noisné.,commune de S            t-Georges-de-Noisné.
DT79-01561,commune de Saint-Georges-de-Noisné.,commune de S            t-Georges-de-Noisné.
DT79-01567,commune de Saint-Hilaire-la-Palud.,commune de S            t-Hilaire-la-Palud.
DT79-01576,commune du Puy-Saint-Bonnet.,commune du Puy-S            t-Bonnet.
DT79-01578,commune de Saint-Germier.,commune de S            t-Germier.
