 id 	old	new	
3254	Kerneatred	Kernéatred	
3255	Kernevez	Kernévez	
3270	Keryvonbrelivet	Keryvonbrélivet	
3273	Koad Brohez	Koad Kerbrohèz	
3284	Lesneven	Lesnéven	
3289	Menez Buzid	Ménez Buzid	
3290	Menez Gwenn	Ménez Gwenn	
3291	Menez Kuz	Ménez Kuz	
3292	Menez Meur	Ménez Meur	
3293	Menez Olier	Ménez Olier	
3300	Pen ar Menez	Pen ar Ménez	
3302	Penaneach	Penanéach	
3305	Penn an Allee	Penn an Allée	
3312	Penn ar Roz Tremele	Penn ar Roz Trémélé	
3315	Penn Brohez	Penn Brohèz	
3331	Saint Andre	Saint André	
3336	Steraon	Stèraon	
3341	Ty Roue	Ty Roué	
3344	Trediern	Trédiern	
3345	Tremele	Trémélé	
3347	Veneg	Véneg	
3349	Veru	Véru	
3368	Kerlaec	Kerlaëc	
3380	Menez Beron	Ménez Béron	
3381	moulin de Cherneric	moulin de Chernéric	
3402	Baie des Trepasses	Baie des Trépassés	
3405	Bremel	Brémel	
3406	Brezoulous	Brézoulous	
3409	Croix de Trevenan	Croix de Trévénan	
3412	Greanec	Gréanec	
3421	Kergaledan	Kergalédan	
3423	Kergleguer	Kergléguer	
3425	Kergrodes	Kergrodès	
3435	Kerlaeron	Kerlaëron	
3438	Kerleo	Kerléo	
3439	Kerleoden	Kerléoden	
3462	Lescleden	Lescléden	
3463	Lezanquel	Lézanquel	
3476	Pors Theolen	Pors Théolen	
3486	Theolen	Théolen	
3487	Trevenan	Trévénan	
3488	Trouerennec	Trouérennec	
3492	Vougeloc	Vougéloc	
3497	Kergueganiou	Kerguéganiou	
3507	Penhero	Penhéro	
3508	Poulguelou	Poulguélou	
3512	Treouarn	Tréouarn	
3516	Boleder	Boléder	
3520	Bruyere (La)	Bruyère (La)	
3522	Cabornes	Cabornès	
3526	Chene (Le)	Chêne (Le)	
3530	Creach Hiven	Créach Hiven	
3531	Creach Meur	Créach Meur	
3532	Croissant Quenet	Croissant Quénet	
3533	Croix Quemener	Croissant Quéméner	
3547	Kergueau	Kerguéau	
3548	Kergueonez	Kerguénonèz	
3549	Kerherve	Kerhervé	
3554	Kernevez	Kernévez	
3559	Leigneonez	Leignéonèz	
3560	Lesnevez	Lesnévez	
3566	Moulin de Cabornes	Moulin de Cabornès	
3587	Sapiniere (La)	Sapinière (La)	
3589	Steraon	Stèraon	
3591	Tremilleau	Trémilleau	
3598	Goaremou	Goarèmou	
3599	Keraliez	Keralièz	
3612	Rosantepault	Rosantépault	
3619	Begavel	Bégavel	
3626	Brelevenez	Brélévénèz	
3627	Bruyeres (Les)	Bruyères (Les)	
3628	Cam ar Streat	Cam ar Stréat	
3630	Castel Deroff	Castel Déroff	
