article_id,vedette,localisationco,insee_code,id,old-id,label,definition_typologie,definition_localisation,insee,method_dicotopo,localisationde,dpt_code,canton_code,method,reference
PO7-00077,Altkirch,none,68004,,,,,,,nulle,Haut-Rhin,68,none,dpt_exact,     Altkirch     Haut Rhin       Altkilch  181 d  209 b  219 a  capellani  175 c  castrum  175 c  incuratus  149 a  175 c  monasterium  149 a  prepositus  149 a    
PO7-00078,Amagney,none,25014,,,,,,,nulle,Doubs,25,Marchaux,dpt_exact,     Amagney     Doubs     con de Marchaux       Amaignes  eccl   14 f      Amaigney  capellanus  40 a  eccl   70 e    
PO7-00079,Amance,none,70012,,,,,,,nulle,Haute-Saône,70,none,dpt_exact,     Amance     Haute Saône     arr  de Vesoul       Amalcia  eccl   2 a      Amance  eccl   86 e      Amancia  capellanus  53 c      Amantia  eccl   21 b    
PO7-00080,Amancey,none,25015,,,,,,,nulle,Doubs,25,none,dpt_exact,     Amancey     Doubs     arr  de Besançon       Amancey  capellanus  63 c    
PO7-00081,Amancy,none,74007,,,,,,,nulle,Haute-Savoie,74,la Roche,dpt_exact,     Amancy     Haute Savoie     con de la Roche       Amancie  Amancier  capellanus  316 f  330 b  cura  360 d    
PO7-00082,Amange,none,39008,,,,,,,nulle,Jura,39,Rochefort-sur-Nenon,dpt_exact,     Amange     Jura     con de Rochefort sur Nenon       Amanges  capellanus  48 e  eccl   80 e      Amenges  eccl   31 d    
PO7-00083,Ambleon,none,01006,P99827857,DT01-05807,Lac Ambleon,petit lac,commune d’Ambléon,01006,communes_fuzzy,,,,,
PO7-00084,Ambre,Bouclans,25078,,,,,,,nulle,Doubs,25,Roulans,dpt_exact,     Ambre     Doubs     con de Roulans     cne de Bouclans       Embres  eccl   2 d    
PO7-00085,Ammerschwihr,none,68005,P42086613,DT68-04956,Meywihr,village détruit,au-dessus d'Ammerschwihr,68005,communes_fuzzy,,,,,
PO7-00085,Ammerschwihr,none,68005,P82111864,DT68-00437,Bennwihr,,canton d’Ammerschwihr,68005,communes_fuzzy,,,,,
PO7-00085,Ammerschwihr,none,68005,P10019740,DT68-07670,Sommersberg,vignoble,Ammerschwihr et à Katzenthal,68005,communes_fuzzy,,,,,
PO7-00085,Ammerschwihr,none,68005,P06210431,DT68-05442,Niedermorschwihr,,canton d’Ammerschwihr,68005,communes_fuzzy,,,,,
PO7-00086,Ammerzwiller,none,68006,,,,,,,nulle,Haut-Rhin,68,Dannemarie,dpt_exact,     Ammerzwiller     Haut Rhin     con de Dannemarie       Amerazwilr  eccl   149 c  incuratus  149 c      Amerczwilr  209 d  219 d    
PO7-00087,Ampuis,none,69007,,,,,,,nulle,Rhône,69,Condrieu,dpt_exact,     Ampuis     Rhône     con de Condrieu       Amputheus  capellanus  281 d  300 g  prior  299 e    
PO7-00089,Anchenoncourt et Chazel,none,70017,,,,,,,nulle,Haute-Saône,70,Amance,dpt_exact,     Anchenoncourt et Chazel     Haute Saône     con d Amance       Acheroncour  capellanus  53 d      Anchenoncourt  eccl   88 b      Ancheroncort  eccl   32 f      Eschenoncuria  eccl   66 b    
PO7-00090,Ancone,none,26008,,,,,,,nulle,Drôme,26,Montélimar,dpt_exact,     Ancône     Drôme     con de Montélimar       Ancona  capellanus  413 d  prior  408 b  412 e    
PO7-00091,Andance,none,07009,P05369883,DT07-02400,Cance,hameau,commune d’Andance,07009,communes_fuzzy,,,,,
PO7-00092,Andelarre,none,70019,,,,,,,nulle,Haute-Saône,70,Vesoul,dpt_exact,     Andelarre     Haute Saône     con de Vesoul       Andelarre  eccl   33 e      Andelerre  capellanus  56 a      Andellarre  eccl   91 c    
PO7-00093,Andert,Andert-et-Condon,01009,P32200370,DT01-00154,Andert,"section, château et moulin",commune d’Andert-Condon,01009,localisationco_exact,,,,,
PO7-00094,Andilly,none,74009,,,,,,,nulle,Haute-Savoie,74,Cruseilles,dpt_exact,     Andilly     Haute Savoie     con de Cruseilles       Andillie  capellanus  313 e  322 c  curatus  341 a  348 a      Andillier  cura  352 d    
PO7-00095,Andolsheim,none,68007,,,,,,,nulle,Haut-Rhin,68,none,dpt_exact,     Andolsheim     Haut Rhin     arr  de Colmar       Ansolczhein  205 g  216 g  rector  164 a  vicarius  164 a      Ansolzhein  eccl   154 i    
PO7-00097,Angeot,none,90002,,,,,,,nulle,territoire de Belfort,none,Fontaine,nodpt_fuzzy,     Angeot  en all  Ingelsod     territoire de Belfort     con de Fontaine       Ingelsat  eccl   150 b      Ingolczat  208 d  capellanus  180 c  vicarius  180 c      Ingoltztat  181 b      Ingolzat  220 b    
PO7-00098,Angirey,none,70022,,,,,,,nulle,Haute-Saône,70,Gray,dpt_exact,     Angirey     Haute Saône     con de Gray       Angere  eccl   19 a      Angirey  capellanus  49 e  eccl   83 f    
PO7-00099,Anglefort,none,01010,,,,,,,nulle,Ain,01,Seyssel,dpt_exact,     Anglefort     Ain     con de Seyssel       Anflafol  prior  335 f      Emflafol  capellanus  308 a      Enflafol  prior  317 c  325 h      Onflafol  curatus  337 e    
PO7-00100,Angonnes,Brié-et-Angonnes,38059,,,,,,,nulle,Isère,38,Vizille,dpt_exact,     Angonnes  les      Isère     con de Vizille     cne de Brié et Angonnes       Sanctus Ypolitus  eccl   373 c      Angonie  capellanus  388 c    
PO7-00102,Anjeux,none,70023,,,,,,,nulle,Haute-Saône,70,Vauvillers,dpt_exact,     Anjeux     Haute Saône     con de Vauvillers       Angeu  capellanus  54 d      Anjous  eccl   21 b      Anjoux  eccl   86 f    
PO7-00103,Anjou,none,38009,,,,,,,nulle,Isère,38,Roussillon,dpt_exact,     Anjou     Isère     con de Roussillon       Anjo  280 a  295 g  capellanus  280 c  295 h    
