Article,Vedette,Definition,Localisation,INSEE_corrigé,Nom_corrigé,Commentaire
DT37-00589,"Avanries (le lieu des),","près de la Bourdaisière, commune de Saint-Mars.",Bourdaisière
DT37-00590,"Avant-Bec (le lieu de l’),","près de l’étang du Mur, commune de Continvoir.",Mur
DT37-00595,"Ave Maria (le lieu de l’),","près de la Vitrie, commune de Véretz.",Vitrie
DT37-00599,"Saint-Avertin,","commune du canton de Tours-sud, arrondissement de Tours, située sur les bords du Cher,",Tours-sud
DT37-00605,"Avoir,","hameau, commune de Longué (Maine-et-Loire).",Longué
DT37-00613,"Avrillé (ruisseau d’),","commune d’Avrillé, prend sa source dans l’étang de ce nom, et se jette dans la Roumer, près du Moulin-Parpin, même commune.",Moulin-Parpin
DT37-00618,"Azay (le lieu d’),","près du Temple, commune de Manthelan.",Temple
DT37-00619,"Azay (le lieu d’),","près de la Motte, commune de Seuilly.",Motte
DT37-00625,"Azé (le lieu d’),","près de la ferme de l’Ormeau, commune de Restigné.",Ormeau
DT37-00631,"Babinet (le bois),","situé près du Petit-Vairin, commune de Neuilly-le-Brignon.",Petit-Vairin
DT37-00638,"Babinière (la),","ferme, commune de Maillé.",Maillé
DT37-00639,"Babinière (la),","hameau, commune de Marcé-sur-Esves,",Marcé-sur-Esves
DT37-00644,"Babinières (étang des),","situé près de la ferme des Babinières, commune de Ciran.",Babinières
DT37-00645,"Babottrie (la),",commune de Couesmes.,Couesmes
DT37-00649,"Bacullerie (le lieu de la),","près de la Gablinerie, commune du Petit-Pressigny.",Gablinerie
DT37-00649,"Bacullerie (le lieu de la),","près de la Gablinerie, commune du Petit-Pressigny.",Petit-Pressigny
DT37-00657,"Badouffles (le lieu des),","commune de Neuvy-Roi, près du chemin de la Marottière à Neuvy.",Marottière
DT37-00658,"Baffard (le lieu de),","près des Roches-Saint-Paul, commune de Ligré.",Roches-Saint-Paul
DT37-00659,"Baffardière (le lieu de la),","près de la ferme des Petites-Mauriceries, commune de Charentilly.",Petites-Mauriceries
DT37-00665,"Bagatelle,","ferme, commune de Veigné, Guésprès du village des .",Gués
DT37-00666,"Bagatellerie (la),","ferme, commune du Grand-Pressigny.",Grand-Pressigny
