article_id,vedette,vedette_orig,localisationde,dpt_code,canton_code,localisationco,localisationco_orig,NCCENR_orig,insee_code,method,reference
PO9-02470,Martres de Veyre,Martres-de-Veyre,Puy-de-Dôme,63,Veyre-Monton,none,none,Martres-de-Veyre,Martres de Veyre (63214),dpt_exact,     Martres de Veyre  Les      Puy de Dôme     con de Veyre Monton       Sanctus Marcialis  154 c  205 b    
PO9-02501,Mauzun,Mauzun,Puy-de-Dôme,63,Billom,none,none,Mauzun,Mauzun (63216),dpt_exact,     Mauzun     Puy de Dôme     con de Billom       Mauzus  193 b    
PO9-02508,Mayres,Mayres,Puy-de-Dôme,63,Arlanc,none,none,Mayres,Mayres (63218),dpt_exact,     Mayres     Puy de Dôme     con d Arlanc       Mazerie  curatus  227 c      Mazeyras  196 d    
PO9-02512,Mazaye,Mazaye,Puy-de-Dôme,63,Rochefort-Montagne,none,none,Mazaye,Mazaye (63219),dpt_exact,     Mazaye     Puy de Dôme     con de Rochefort Montagne       Mazayas  163 e    
PO9-02525,Mazoires,Mazoires,Puy-de-Dôme,63,Ardes-sur-Couze,none,none,Mazoires,Mazoires (63220),dpt_exact,     Mazoires     Puy de Dôme     con d Ardes sur Couze       Masueres  prior  227 d      Mazoyras  prior  157 b  207 b    
PO9-02531,Medeyrolles,Medeyrolles,Puy-de-Dôme,63,Viverols,none,none,Medeyrolles,Medeyrolles (63221),dpt_exact,     Medeyrolles     Puy de Dôme     con de Viverols       Madoyrolas  195 c      Medeyrolas  prior  227 a    
PO9-02536,Meilhaud,Meilhaud,Puy-de-Dôme,63,Issoire,none,none,Meilhaud,Meilhaud (63222),dpt_exact,     Meilhaud     Puy de Dôme     con d Issoire       Malhau  155 b      Melhau  201 c    
PO9-02543,Menat,Menat,Puy-de-Dôme,63,Riom,none,none,Menat,Menat (63223),dpt_exact,     Menat     Puy de Dôme     con de Riom     arrt de Riom       Menatum  174 c  abbas  219 d  234 a  qui et patronus  117 a  f  134 e  135 b  archipresbiteratus  174 177  219 220  234  helemosinarius  sacrista  219 d    
PO9-02553,Menetrol,Ménétrol,Puy-de-Dôme,63,Riom-est,none,none,Ménétrol,Menetrol (63224),dpt_exact,     Ménétrol     Puy de Dôme     con de Riom est       Monistrols  163 c    
PO9-02580,Messeix,Messeix,Puy-de-Dôme,63,Bourg Lastic,none,none,Messeix,Messeix (63225),dpt_exact,     Messeix     Puy de Dôme     con de Bourg Lastic       Messes  166 c  curatus  222 d    
PO9-02616,Mirefleurs,Mirefleurs,Puy-de-Dôme,63,Vic-le-Comte,none,none,Mirefleurs,Mirefleurs (63227),dpt_exact,     Mirefleurs     Puy de Dôme     con de Vic le Comte       Chastelneus  192 b    
PO9-02617,Miremont,Miremont,Puy-de-Dôme,63,Pontaumur,none,none,Miremont,Miremont (63228),dpt_exact,     Miremont     Puy de Dôme     con de Pontaumur       Mirimons  167 d      Mirus Mons  curatus  221 e    
PO9-02624,Moissat,Moissat,Puy-de-Dôme,63,Vertaizon,none,none,Moissat,Moissat (63229),dpt_exact,     Moissat     Puy de Dôme     con de Vertaizon       Magenciacus  prior  238 c      Mozet  191 a    
PO9-02642,Monestier,Monestier,Puy-de-Dôme,63,Saint-Amant-Roche-Savine,none,none,Monestier,Monestier (63230),dpt_exact,     Monestier  Le      Puy de Dôme     con de Saint Amant Roche Savine       Monasterium  198 b    
PO9-02652,Mons,Mons,Puy-de-Dôme,63,Randan,none,none,Mons,Mons (63232),dpt_exact,     Mons     Puy de Dôme     con de Randan       Mons  curatus  170 a  decanus  170 a  prior  232 a    
PO9-02663,Montaigut le Blanc,Montaigut-le-Blanc,Puy-de-Dôme,63,Champeix,none,none,Montaigut-le-Blanc,Montaigut le Blanc (63234),dpt_exact,     Montaigut le Blanc     Puy de Dôme     con de Champeix       Mons acutus  prior  155 d  225 a      Mons Acutus supra Campellis  236 a      Montagut  prior  202 a    
PO9-02679,Montcel,Montcel,Puy-de-Dôme,63,Combronde,none,none,Montcel,Montcel (63235),dpt_exact,     Montcel     Puy de Dôme     con de Combronde       Moncel  rector  178 b    
PO9-02701,Montel de Gelat,Montel-de-Gelat,Puy-de-Dôme,63,Pontaumur,none,none,Montel-de-Gelat,Montel de Gelat (63237),dpt_exact,     Montel de Gelat     Puy de Dôme     con de Pontaumur       Montel  Chapella del   169 a    
PO9-02712,Montfermy,Montfermy,Puy-de-Dôme,63,Pontgibaud,none,none,Montfermy,Montfermy (63238),dpt_exact,     Montfermy     Puy de Dôme     con de Pontgibaud       Mons Firmini  prior  220 d      Mons Fremini  prior  240 c      Montfurmis  prior  178 a    
PO9-02744,Montmorin,Montmorin,Puy-de-Dôme,63,Billom,none,none,Montmorin,Montmorin (63239),dpt_exact,     Montmorin     Puy de Dôme     con de Billom       Monmauris  189 b    
PO9-02755,Montpensier,Montpensier,Puy-de-Dôme,63,Aigueperse,none,none,Montpensier,Montpensier (63240),dpt_exact,     Montpensier     Puy de Dôme     con d Aigueperse       Monspancerius  capella  171 b  Sanctus Bonitus  171 b  prior  214 b  231 a    
PO9-02812,Moureuille,Moureuille,Puy-de-Dôme,63,Montaigut-en-Combraille,none,none,Moureuille,Moureuille (63243),dpt_exact,     Moureuille     Puy de Dôme     con de Montaigut en Combraille       Moroyles  171 a    
PO9-02830,Mozac,Mozac,Puy-de-Dôme,63,Riom-ouest,none,none,Mozac,Mozac (63245),dpt_exact,     Mozac     Puy de Dôme     con de Riom ouest       Mausat  Sanctus Paulus  163 c  abbas  163 c      Mauzacensis  Beatus Martinus  163 d      Mousacus  abbas  patronus  117 a      Mauziacus  abbas  camerarius  212 b  infirmarius  sacrista  212 c      Moissacus  509 d      Moziacus  abbas  229 b  230 a    
PO9-02838,Murat le Quaire,Murat-le-Quaire,Puy-de-Dôme,63,Rochefort-Montagne,none,none,Murat-le-Quaire,Murat le Quaire (63246),dpt_exact,     Murat le Quaire     Puy de Dôme     con de Rochefort Montagne       Murat  165 c    
PO9-02876,Nebouzat,Nébouzat,Puy-de-Dôme,63,Rochefort-Montagne,none,none,Nébouzat,Nebouzat (63248),dpt_exact,     Nébouzat     Puy de Dôme     con de Rochefort Montagne       Nebozat  164 f      Nebozacus  prior  222 c    
PO9-02885,Neronde sur Dore,Néronde-sur-Dore,Puy-de-Dôme,63,Lezoux,none,none,Néronde-sur-Dore,Neronde sur Dore (63249),dpt_exact,     Néronde sur Dore     Puy de Dôme     con de Lezoux       Neyrondes  195 a    
PO9-02887,Neschers,Neschers,Puy-de-Dôme,63,Champeix,none,none,Neschers,Neschers (63250),dpt_exact,     Neschers     Puy de Dôme     con de Champeix       Neschers  curatus  155 d  201 c    
PO9-02889,Neuf Eglise,Neuf-Église,Puy-de-Dôme,63,Menat,none,none,Neuf-Église,Neuf Eglise (63251),dpt_exact,     Neuf Église     Puy de Dôme     con de Menat       Ecclesia Nova  174 c    
PO9-02903,Neuville,Neuville,Puy-de-Dôme,63,Billom,none,none,Neuville,Neuville (63252),dpt_exact,     Neuville     Puy de Dôme     con de Billom       Nova Villa  prior  216 f    
PO9-02921,Noalhat,Noalhat,Puy-de-Dôme,63,Châteldon,none,none,Noalhat,Noalhat (63253),dpt_exact,     Noalhat     Puy de Dôme     con de Châteldon       Noailhat  prior  239 a      Nohalhat  190 c      Nohallacus  prior  216 e    
PO9-02924,Nohanent,Nohanent,Puy-de-Dôme,63,Clermont-Ferrand-nord,none,none,Nohanent,Nohanent (63254),dpt_exact,     Nohanent     Puy de Dôme     con de Clermont Ferrand nord       Noanens  rector  163 e    
PO9-02932,Nonette,Nonette,Puy-de-Dôme,63,Saint-Germain-Lembron,none,none,Nonette,Nonette (63255),dpt_exact,     Nonette     Puy de Dôme     con de Saint Germain Lembron       Nonede  201 b      Noneta  prior  225 d  237 b    
PO9-02965,Novacelles,Novacelles,Puy-de-Dôme,63,Arlanc,none,none,Novacelles,Novacelles (63256),dpt_exact,     Novacelles     Puy de Dôme     con d Arlanc       Novacella  197 b    
PO9-02977,Olby,Olby,Puy-de-Dôme,63,Rochefort-Montagne,none,none,Olby,Olby (63257),dpt_exact,     Olby     Puy de Dôme     con de Rochefort Montagne       Albes  prior  222 b      Olbis  164 f    
PO9-02980,Olliergues,Olliergues,Puy-de-Dôme,63,Thiers,none,none,Olliergues,Olliergues (63258),dpt_exact,     Olliergues     Puy de Dôme     con de Thiers     arrt de Thiers       Oliergues  194 a    
PO9-02981,Olloix,Olloix,Puy-de-Dôme,63,Saint-Amant-Tallende,none,none,Olloix,Olloix (63259),dpt_exact,     Olloix     Puy de Dôme     con de Saint Amant Tallende       Oloys  154 e    
PO9-02982,Olmet,Olmet,Puy-de-Dôme,63,Courpière,none,none,Olmet,Olmet (63260),dpt_exact,     Olmet     Puy de Dôme     con de Courpière       Olmet  194 c      Olmetum  curatus  217 a    
PO9-02996,Orbeil,Orbeil,Puy-de-Dôme,63,Issoire,none,none,Orbeil,Orbeil (63261),dpt_exact,     Orbeil     Puy de Dôme     con d Issoire       Orbeilh  prior  226 a      Orbel  200 c    
PO9-02999,Orcet,Orcet,Puy-de-Dôme,63,Veyre-Monton,none,none,Orcet,Orcet (63262),dpt_exact,     Orcet     Puy de Dôme     con de Veyre Monton       Orsetus  205 b      Urcetus  154 c  prior  224 d  235 b    
PO9-03000,Orcines,Orcines,Puy-de-Dôme,63,Clermont-Ferrand-nord,none,none,Orcines,Orcines (63263),dpt_exact,     Orcines     Puy de Dôme     con de Clermont Ferrand nord       Orsinas  163 e    
PO9-03001,Orcival,Orcival,Puy-de-Dôme,63,Rochefort-Montagne,none,none,Orcival,Orcival (63264),dpt_exact,     Orcival     Puy de Dôme     con de Rochefort Montagne       Urcival  165 a      Urcivallis  capitulum  222 c  234 b  decanus  222 c  prior  222 a    
PO9-03004,Orleat,Orléat,Puy-de-Dôme,63,Lezoux,none,none,Orléat,Orleat (63265),dpt_exact,     Orléat     Puy de Dôme     con de Lezoux       Orleacus  curatus  217 d      Orleat  189 b    
