Article	Vedette	Localisation	INSEE_corrigé	Nom_corrigé	Commentaire
DT37-03089	Borbure (le lieu de),	Raguins	non		
DT37-24383	Siffran (le lieu de),	Raimbaudière	non		
DT37-13341	Gros-Caillou (le lieu du),	Raimbaudière	non		
DT37-26657	Vieilles-Maisons (le lieu des),	Raimbault	non		
DT37-18524	Moutonnerie (le lieu de la),	Raimbaults	non		
DT37-05239	Cave-Bourrue (le lieu de la),	Raimbœuf	non		
DT37-02798	Bois-Prieur (le lieu de),	Raingé	non		
DT37-14789	Jard (la fontaine du),	Rajace	non		
DT37-23460	Rossards (le lieu des),	Rallaye	non		
DT37-24998	Tireloup (le bois de),	Rançay	non		
DT37-02940	Bois-Thibault (le lieu de),	Rancheraie	non		
DT37-14833	Jarrie (le lieu de la),	Rarie	non		
DT37-02237	Binards (le lieu des),	Rassé	non		
DT37-18210	Motte-Fiché (le lieu de la),	Rassé	non		
DT37-05172	Castilles (le lieu des),	Ratellière	non		
DT37-18779	Noirs-de-la-Croix (le lieu des),	Ratellière	non		
DT37-03407	Boulas (le lieu de),	Raterie	non		
DT37-10919	Fosse-Neuve (le lieu de la),	Raterie	non		
DT37-10828	Fosse-Barnou (le lieu de la),	Raterie	non		
DT37-09578	Égronnière (le lieu de l’),	Ratrie	non		
DT37-04629	Buttes (la fosse des),	Rauderie	non		
DT37-11608	Galette (le lieu de la),	Rauderie	non		
DT37-02721	Bois-Javelle (le lieu de),	Rauderie	non		
DT37-14450	Houx (le lieu des),	Rauderies	non		
DT37-22923	Rivarennes (le lieu de),	Raudière	non		
DT37-22134	Quenallières (la courance des),	Raudière	non		
DT37-12880	Grandes-Vallées (le lieu des),	Raudière	non		
DT37-14187	Hemaux (le bois des),	Raudière	non		
DT37-03176	Bordes (le lieu des),	Ravenon	non		
DT37-13163	Grelettière (le lieu de la),	Ravin-des-Joncs	non		
DT37-05347	Caves-de-la-Bonne-Vieille (le lieu des),	Ray	non		
DT37-19619	Pelouse (le lieu de la),	Ray	non		
DT37-18185	Motte (le lieu de la),	Ray	non		
DT37-18845	Noue-Gacher (le lieu de la),	Réaux	non		
DT37-08216	Coudraye (le lieu de la),	Rebardière	non		
DT37-14165	Haye-Neuve (le lieu de la),	Rebardière	non		
DT37-22224	Rabotte (le lieu de la),	Rebuffière	non		
DT37-08106	Coteaux (le lieu des),	Recelin	non		
DT37-11333	Fresnaie (le lieu de la),	Recoin	non		
DT37-13877	Haie (fontaine de la),	Recollets	non		
DT37-24344	Setrée (le lieu de la),	Reigner	non		
DT37-07484	Clos-de-la-Roche-Fleurie (le lieu du),	Reignère	non		
DT37-11623	Galippes (le lieu des),	Reignère	non		
DT37-15793	Longues-Raies (le lieu des),	Reignère	non		
DT37-22104	Quarts (le bois des),	Reignerie	non		
DT37-11695	Gaona,	Relay	non		
DT37-23317	Rodière (le lieu de la),	Relay	non		
DT37-01305	Beauces (le lieu des),	Remettière	non		
DT37-05421	Celle-Guenand (la),	Remillon	non		
DT37-05362	Caves-des-Roches (les),	Remillon	non		
DT37-18455	Mouline,	Remillon	non		
DT37-01165	Bateaux (le lieu des),	Renardière	non		
DT37-04703	Caillères (le lieu des),	Renardières	non		
DT37-08495	Coutures (le lieu des),	Renardières	non		
DT37-17389	Miches (le lieu des),	Renaudières	non		
DT37-01238	Bauge (le lieu de la),	Renaudrie	non		
DT37-02605	Bois-de-l’Alisier (le lieu du),	Renaudrie	non		
DT37-11579	Galandes (le lieu des),	Renaudries	non		
DT37-10859	Fosse-d’Argent (le lieu de la),	Renuaume	non		
DT37-09855	Étang-des-Babinières (l’),	Repenellières	non		
DT37-09864	Étang-du-Château (l’),	Repenellières	non		
DT37-06262	Château (étang du),	Repenellières	non		
DT37-09990	Falunières (le lieu des),	Rétardière	non		
DT37-10539	Fontaine-Jouan (le lieu de la),	Retries	non		
DT37-17620	Momonière, ou Maumonnière, Maumoine, ou Roches-Malmoignes (le fief de la),	Retz	non		
DT37-07085	Chilloulais (le lieu des),	Reuffé	non		
DT37-05710	Champ-du-Four (le lieu du),	Reuilles	non		
DT37-06724	Chenay (le lieu de la),	Reuilles	non		
DT37-25936	Vallée-Noire (le lieu de la),	Revauderie	non		
DT37-17598	Molands (le lieu des),	Revaudière	non		
DT37-19899	Perruque (le lieu de la),	Reveillaux	non		
DT37-02778	Bois-Normand (le lieu de),	Réveillaux	non		
DT37-16770	Marserais (le lieu de),	Reversière	non		
DT37-24111	Saulaie (île de la),	Rhonne	non		
DT37-17194	Merceries (le lieu des),	Riaumes	non		
DT37-27151	Zienneries (le lieu des),	Riaumes	non		
DT37-19270	Papillon (le lieu de),	Riberderie	non		
DT37-14722	Jacquet (le bois),	Ricardière	non		
DT37-09829	Étang-Bourdet (le lieu de l’),	Richardière	non		
DT37-01324	Beauchêne (la chapelle de Notre-Dame de),	Richardière	non		
DT37-05786	Champ-Maugis (le lieu de),	Richardière	non		
DT37-25877	Vallée-des-Jeux (le lieu de la),	Richardière	non		
DT37-23548	Rougeries (le lieu des),	Richardière	non		
DT37-15359	Larderie (le lieu de la),	Richardière	non		
DT37-26492	Vergerie (la),	Riche	37195		
DT37-03554	Bourdonnerie (le lieu de la),	Riche	37195		
DT37-04402	Bruzeaux (le lieu des),	Riche	37195		
DT37-03363	Bougondes (les îles),	Riche	37195		
DT37-12187	Gévrioux (île de),	Riche	37195		
DT37-14627	Ile-Noire (l’),	Riche	37195		
DT37-12186	Gévrioux,	Riche	37195		
DT37-12808	Grande-Maison (la),	Riche	37195		
DT37-03497	Bourdaises (les),	Riche	37195		
DT37-03499	Bourdaisière (la),	Riche	37195		
DT37-05021	Carroi-du-Puy (le),	Riche	37195		
DT37-06674	Chemin-Neuf (le),	Riche	37195		
DT37-06848	Chêne-Vert (le),	Riche	37195		
DT37-07223	Cimetière (le Petit-), ou Cimetière-Ardent,	Riche	37195		
DT37-10795	Fosse-au-Gras (la),	Riche	37195		
DT37-11432	Fuie, ou Fuye (la),	Riche	37195		
DT37-12680	Grand-Carroi (le),	Riche	37195		
DT37-13448	Grue (la),	Riche	37195		
DT37-13910	Hallebardière (la),	Riche	37195		
DT37-14125	Hautes-Marches (les),	Riche	37195		
DT37-14726	Jacqueterie (la), ou Jacterie,	Riche	37195		
DT37-15561	Ligner,	Riche	37195		
DT37-16142	Maisonnerie (la),	Riche	37195		
DT37-19442	Patis (les),	Riche	37195		
DT37-20400	Pigeonnier (le),	Riche	37195		
DT37-20876	Plessis (le Petit-), ou Fort-des-Boires,	Riche	37195		
DT37-21009	Poirière (la),	Riche	37195		
DT37-21224	Pont-Libert,	Riche	37195		
DT37-21493	Poteterie (la),	Riche	37195		
DT37-21592	Pousseterie (la),	Riche	37195		
DT37-22188	Rabaterie (la), Rabateries, ou Motte-Chapon,	Riche	37195		
DT37-22214	Rabinière (la),	Riche	37195		
DT37-22837	Rifardière (la) ou Rifaudière,	Riche	37195		
DT37-23769	Rue-Cheneau (la),	Riche	37195		
DT37-23802	Rue-du-Port (la),	Riche	37195		
DT37-23898	Sables (les),	Riche	37195		
DT37-24100	Saugé (le),	Riche	37195		
DT37-24485	Soufflet (le),	Riche	37195		
DT37-25037	Tonnellés (les),	Riche	37195		
DT37-25640	Tuilerie (la),	Riche	37195		
DT37-26065	Varenne (la),	Riche	37195		
DT37-27052	Vivions (les),	Riche	37195		
DT37-15993	Madeleine (la),	Riche	37195		
DT37-00524	Aumônerie (l’),	Riche	37195		
DT37-12980	Grange-David (la),	Riche	37195		
DT37-21323	Port-Cordon,	Riche	37195		
DT37-17089	Saint-Médard (prieuré de),	Riche	37195		
DT37-08345	Couratier,	Riche	37195		
DT37-05653	Champ-Boucher (la métairie de),	Riche	37195		
DT37-10301	Flosseaux (le lieu des),	Riche	37195		
DT37-12327	Girauderie (le lieu de la),	Riche	37195		
DT37-18633	Naudières (la métairie des), ou Naudinières,	Riche	37195		
DT37-18810	Notre-Dame-de-Consolation,	Riche	37195		
DT37-22503	Reforderies (le lieu des) ou Refordières,	Riche	37195		
DT37-26999	Viriants (le lieu des),	Riche	37195		
DT37-10269	Fiselière (la), ou les Normands,	Riche	37195		
DT37-06873	Cher (le),	Riche	37195		
DT37-06874	Cher (le Petit-),	Riche	37195		
DT37-21358	Port du Pont-Neuf (le),	Riche	37195		
DT37-11276	Saint-François,	Riche	37195		
DT37-19544	Pavillons (les),	Riche	37195		
DT37-20917	Plessis-lez-Tours (le),	Riche-extra	37195		
DT37-00222	Sainte-Anne,	Riche-extra	37195		
DT37-00224	Sainte-Anne (closerie de),	Riche-extra	37195		
DT37-01675	Belle-Croix (le lieu de),	Riche-extra	37195		
DT37-27021	Vivians (le lieu des),	Riche-extra	37195		
DT37-05141	Cassereau (le),	Riche-extra	37195		
DT37-09254	Devalleries (les),	Riche-extra	37195		
DT37-12937	Grange (la),	Riche-extra	37195		
DT37-17294	Métairie (la),	Riche-extra	37195		
DT37-22675	Sainte-Restitue,	Riche-extra	37195		
DT37-08004	Cornouaille (la fosse),	Riche-extra	37195		
