Article,Vedette,Localisation,INSEE_corrigé,Nom_corrigé,Commentaire
DT15-02039,Bougues (Le Puech des),Saint-Christophe,15153,,
DT15-02055,Bouissou (Le),Lacapelle-Viescamp,15088,,
DT15-02060,Bouissou-Ferrat (Le),Saint-Bonnet-de-Marcenat,15173,,
DT15-02073,Bouliac,Arpajon,15012,Arpajon-sur-Cère,
DT15-02087,Bourbouloux,Saignes,15169,,Commune non reconnue dans le DT
DT15-02120,Bouriatte (La),Labesserette,15084,,
DT15-02132,Bourliette,Ruines,15168,Ruynes,
DT15-02138,Bournat (Le),Ally,15003,,Commune non reconnue dans le DT
DT15-02159,Bournoncles,Ruines,non,,
DT15-02169,Bourrieu (Le),Montvert,15135,,
DT15-02173,Bourriottes (Las),Labesserette,15084,,
DT15-02175,Boursol,Arpajon,15012,Arpajon-sur-Cère,
DT15-02176,Boursolet,Arpajon,15012,Arpajon-sur-Cère,
DT15-02177,Boursolet,Arpajon,15012,Arpajon-sur-Cère,
DT15-02177,Boursolet,Roannes-Saint-Mary,15163,,Commune non reconnue dans le DT
DT15-02198,Bousquet (Le),Arpajon,15012,Arpajon-sur-Cère,
DT15-02199,Bousquet (Le),Barriac,15018,,
DT15-02219,Boussac,Arpajon,15012,Arpajon-sur-Cère,
DT15-02221,Boussac,Pierrefort,15152,,Commune non reconnue dans le DT
DT15-02222,Boussac,Pierrefort,15152,,Commune non reconnue dans le DT
DT15-02227,Boussagol,Pierrefort,15152,,Commune non reconnue dans le DT
DT15-02233,Boussifarat,Saint-Bonnet-de-Marcenat,15173,,
DT15-02236,Boussorine (La),Sarrus,15073,,
DT15-02237,Boutailloux (Le),Sarrus,15073,,
DT15-02249,Boutelière (Las),Tessières-de-Cornet,15233,,
DT15-02265,Boutinet (Le),Chaudesaigues,15045,Chaudes-Aigues,
DT15-02269,Bouval,Barriac,15018,,
DT15-02274,Bouygue (La),Arpajon,15012,Arpajon-sur-Cère,
DT15-02280,Bouygue (La),Arpajon,15012,Arpajon-sur-Cère,
DT15-02280,Bouygue (La),Roannes-Saint-Mary,15163,,Commune non reconnue dans le DT
DT15-02288,Bouygues,Jou-sous-Montjou,15081,,
DT15-02291,Bouygue-Verte (La),Arpajon,15012,Arpajon-sur-Cère,
DT15-02308,Boyetan,Arpajon,15012,Arpajon-sur-Cère,
DT15-02326,Bramapau,Tessières-de-Cornet,15233,,
DT15-02331,Bramefont,Aveyron,non,,
DT15-02339,Branse,Chaudesaigues,15045,Chaudes-Aigues,
DT15-02357,Brassiers (Les),Lacapelle-Viescamp,15088,,
DT15-02374,Brégeal (Le),Saint-Martin-sous-Vigoureux,15201,Saint-Martin-sous-Vigouroux,
DT15-02378,Breisse,Saint-Christophe,15153,,
DT15-02388,Bressoles,Chaudesaigues,15045,Chaudes-Aigues,
DT15-02391,Bressouly (Le),Chaudesaigues,15045,Chaudes-Aigues,
DT15-02394,Breuil (Le),Ally,15003,,Commune non reconnue dans le DT
DT15-02412,Brezons,Pierrefort,non,,
DT15-02426,Brioude,Arpajon,15012,Arpajon-sur-Cère,
DT15-02437,Bro (La),Saint-Étienne-de-Carlat,15183,,Commune non reconnue dans le DT
DT15-02439,Broc (Le),Arpajon,15012,Arpajon-sur-Cère,
DT15-02443,Brocatel,Arpajon,15012,Arpajon-sur-Cère,
DT15-02459,Bros (Las),Labesserette,15084,,
DT15-02467,Brossière (La),Roussy,15257,Vezels-Roussy,Commune non reconnue dans le DT
DT15-02468,Brot (Le),Chanterelle,15040,,Commune non reconnue dans le DT
DT15-02494,Brousse (Le Puech de),Saint-Christophe,15153,,
DT15-02515,Broussoles,Barriac,15018,,
DT15-02524,Brouzac,Arpajon,15012,Arpajon-sur-Cère,
DT15-02527,Brouzadet,Arpajon,15012,Arpajon-sur-Cère,
DT15-02535,Brueille (La),Saint-Bonnet-de-Marcenat,15173,,
DT15-02562,Brugeire (La),Sarrus,15073,,
DT15-02598,Brussol (Le),Arpajon,15012,Arpajon-sur-Cère,
DT15-02634,Buisson (Le),Saint-Etienne-de-Carlat,15183,,Commune non reconnue dans le DT
DT15-02640,Burc,Barriac,15018,,
DT15-02677,Cabane (La),Trémouille-Marchal,15240,,
DT15-02701,Cabauf,Trémouille-Marchal,15240,,
DT15-02709,Cabrespine,Arpajon,15012,Arpajon-sur-Cère,
DT15-02715,Cabrespine,Montvert,15135,,
DT15-02716,Cabrespine,Roussy,15257,Vezels-Roussy,Commune non reconnue dans le DT
DT15-02719,Cabrières,Arpajon,15012,Arpajon-sur-Cère,
DT15-02722,Cabrol,Arpajon,15012,Arpajon-sur-Cère,
DT15-02732,Cache-Fève,Saignes,15169,,Commune non reconnue dans le DT
DT15-02747,Caire (Le),Saignes,15169,,Commune non reconnue dans le DT
DT15-02750,Caironière (La),Tessières-les-Bouliès,15234,Teissières-les-Bouliès,
DT15-02754,Caizac,Saint-Étienne-de-Carlat,15183,,Commune non reconnue dans le DT
DT15-02778,Calmels (Les)  ,Lapeyrugue,15093,,
DT15-02782,Calmels (Les),Saint-Étienne-de-Carlat,15183,,Commune non reconnue dans le DT
DT15-02809,Calves,Roannes-Saint-Mary,15163,,Commune non reconnue dans le DT
DT15-02831,Cambon (Le),Arpajon,15012,Arpajon-sur-Cère,
DT15-02854,Cambret (Le),Roussy,15257,Vezels-Roussy,Commune non reconnue dans le DT
DT15-02859,Cam-del-Sartre (La),Saint-Élienne-de-Carlat,15183,,Commune non reconnue dans le DT
DT15-02862,Caminade (La),Saint-Etienne-de-Carlat,15183,,Commune non reconnue dans le DT
DT15-02873,Camp (La),Roannes-Saint-Mary,15163,,Commune non reconnue dans le DT
DT15-02884,Camp-del-Mas (Les),Roannes-Saint-Mary,15163,,Commune non reconnue dans le DT
DT15-02900,Camunhac,Arpajon,15012,Arpajon-sur-Cère,
DT15-02902,Can (La),Jou-sous-Montjou,15081,,
DT15-02915,Canavaux (Les),Laroque-vieille,15095,Laroquevieille,
DT15-02938,Canroux,Jou-sous-Montjou,15081,,
DT15-02941,Cant (Le),Saint-Bonnet-de-Marcenat,15173,,
DT15-02947,Cantalès (Le),Aurillac et de Mauriac,non,,
DT15-02955,Cantournet,Arpajon,15012,Arpajon-sur-Cère,
DT15-02983,Capelle (La),Aveyron,non,,
DT15-02983,Capelle (La),Thérondels,12280,,
DT15-02989,Capelle-Barrez (La),Pierrefort,non,,
DT15-02999,Capels,Jou-sous-Montjou,15081,,
DT15-03001,Capitaine (Le Moulin du),Saint-Christophe,15153,,
DT15-03020,Carabin,Montvert,15135,,
DT15-03028,Carbonière (La),Roannes-Saint-Mary,15163,,Commune non reconnue dans le DT
DT15-03030,Carbonat,Arpajon,15012,Arpajon-sur-Cère,
