article,ProblemeLocalisation ?
DT76-13780,communes de Sainte-Marie-du-Bosc et du Tilleul.,communes de Sainte Marie du Bosc et du Tilleul.
DT76-13781,communes de Yerville et d'Ouville-'Abbaye.,communes de Yerville et d'Ouville-L'abbaye.
DT76-13842,communes de Saint-Martin-de-Boscherville ou de Montigny en la ,communes de Saint-Martin de Boscherville ou de Montigny en la 
DT76-13855,communes de Villequier et de Saint-Arnoult.,communes de Villequier et de Saint Arnoult.
DT76-13973,commune d’Anglesqueville-la-Bras-Long.,commune d'Anglesqueville-la-Bras-long         .
DT76-14054,"communes de Notre-Dame-de-Bliquetuit et de Saint-Nicolas-de-Bliquetuit, de la Mailleraye-sur-Seine et de Vatteville.","communes de Notre-Dame et de Saint-Nicolas-de-Bliquetuit, de la Mailleraye-sur-Seine et de Vatteville."
DT76-14058,commune de Sainte-Marguerite-sur-Mer.,commune de Saint-Marguerite-sur-Mer         .
DT76-14237,commune de Beuzeville-la-Grenier.,commune de Beuzeville-le-Grenier         .
DT76-14351,commune de Quincampoix.,commune de Quicampoix         .
DT76-14390,communes de Cressy et de Saint-Hellier.,communes de Cressy et de Saint-Hallier.
DT76-14429,"paroisse de Saint-Aubin-des-Sarqueulx, ","paroisse de Saint-Aubin des Sarqueulx, "
DT76-14519,commune Notre-Dame-de-Gravenchon.,commune N.-D.-de-Gravenchon.
DT76-14558,commune de Vergetot.,commune de Bergetot.
DT76-14559,commune La Bouille.,commune La Bouillie.
DT76-14616,"communes de Froberville, de Vattetot-sur-Mer, des Loges et de Saint-Léonard.","communes de Froberville, de Vattetot-sur-Mer, des Loges et de Saint Léonard."
DT76-14709,communes d'Angerville-Bailleul et Bénarville.,communes d'Angerville-Bailleul et Bénerville.
DT76-14938,commune d’Oissel.,commune d'Oisel         .
DT76-14995,commune de Saint-Rémy-Boscrocourt.,commune de Saint-Rémy-Broscrocourt.
DT76-15027,communes de Gancourt-Saint-Etienne et de Dampierre.,communes de Grancourt-Saint-Etienne et de Dampierre.
DT76-15066,commune de Drosay.,commune de Drossay         .
DT76-15292,commune de Grainville-la-Teinturière.,commune de Granville-la-Teiturière         .
DT76-15298,communes de Grand-Quevilly et Petit-Quevilly.,communes de Grand- et Petit-Quevilly.
DT76-15366,"paroisses de Graville-Sainte-Honorine, Ingouville et Saint-Nicolas-de-Leure, ","paroisses de Graville-Sainte-Honorine, Ingouville et Saint-Nicolas de Leure, "
DT76-15425,"Mont-Remond, à Esclavelles ou ",">Mont-Remond, à Esclavelles ou "
DT76-15519,commune de Valmont.,commune de Valpont.
DT76-15522,commune d’Yainville.,commune d'Yvainville         .
DT76-15533,commune de Saint-Germain-les-Essourds.,commune de Saint-Germain-les Essourds         .
DT76-15711,commune de Sotteville-sur-Mer.,commune de Sotteville-sur-mer         .
DT76-15817,communes de Saint-Etienne-du-Rouvray et d'Amfreville-la-Mi-Voie.,communes de Saint-Etienne-du-Rouvray et d'Amfreville la Mi-Voie.
DT76-15967,commune de Canville-les-Deux-Eglises.,commune de Canville-les-deux-Eglises         .
DT76-16058,commune de Montcauvaire.,commune de Montcaupaire         .
DT76-16101,communes de Notre-Dame-de-Bliquetuit ou de Saint-Nicolas-de-Bliquetuit.,communes de Notre-Dame ou de Saint-Nicolas-de-Bliquetuit.
DT76-16109,Saint-Pierre-de-Jonquieres.,            Saint-Pierre-de-Jonquières         .
DT76-16123,commune de Saint-Aubin-Routot.,commune de Saint-Aubin-en-Routot.
DT76-16277,communes de Sainte-Austreberthe et de Limésy.,communes de Sainte Austreberthe et de Limésy.
DT76-16279,communes de Pierrecourt et de Nesle-Normandeuse.,communes de Pierrepont et de Nesle-Normandeuse.
DT76-16464,Maucomble à la Mare-du-Four.,Maucomble à la Mare du Four.
DT76-16480,commune d’Auberville-la-Campagne.,commune d'Aubreville-la-Campagne         .
DT76-16655,commune de Saint-Maurice-d’Etelan.,commune de Saint-Maurice-D'Etelan         .
DT76-16811,commune de La Houssaye-Béranger.,commune de La Haussaye-Béranger         .
DT76-17011,"Rouen et étendait sa juridiction sur Saint-Maur, Saint-Julien-l'Aunay, le Nid-de-Chien ; 4 vicomtés en dépendaient : la Madeleine, Grandpré, Hautot, Vattetot, ","            Rouen>          et étendait sa juridiction sur Saint-Maur, Saint-Julien-l'Aunay, le Nid-de-Chien ; 4 vicomtés en dépendaient : la Madeleine, Grandpré, Hautot, Vattetot, "
DT76-17039,commune La Trinité-du-Mont.,commune Trinité-du-Mont.
DT76-17174,commune de Saint-Maurice-d’Etelan.,commune de Saint-Maurice-D'Etelan         .
DT76-17332,commune d’Etalleville ou ,commune d'Etelleville          ou 
DT76-17437,commune de Vibeuf.,commune de Vileuf         .
DT76-17480,commune du Caule-Sainte-Beuve.,commune du Caule-Saint-Beuve.
DT76-17515,Ponts pour former la commune de ,            Ponts          pour former la 
DT76-17515,Ponts-et-Marais.,commune de Ponts-et-Marais         .
DT76-17544,commune d’Amfreville-la-Mi-Voie.,commune d'Ambreville-la-Mi-Voie         .
DT76-17592,commune de Sorquainville.,commune de Quainville         .
DT76-17600,commune de Saint-Nicolas-de-Bliquetuit.,commune de Saint-Nicolas-de-Blinquetuit         .
DT76-17727,commune d’Anglesqueville-l’Esneval.,commune d'Angerville-l'Esneval         .
DT76-17814,communes de Notre-Dame-de-Bliquetuit ou de Saint-Nicolas-de-Bliquetuit.,communes de Notre-Dame ou de Saint-Nicolas-de-Bliquetuit.
DT76-18029,"commune de la Rue-Saint-Pierre, au ","commune de la Rue-Pierre         , au "
DT76-18087,commune de Mesnil-Esnard.,commune de Mesnil-Enard         .
DT76-18202,"Mont-Saint-Aignanprès de la commune de , ","près de la commune de Mont-Saint-Aignan         , "
DT76-18397,communes de Notre-Dame-de-Bliquetuit ou de Saint-Nicolas-de-Bliquetuit.,communes de Notre-Dame ou de Saint-Nicolas-de-Bliquetuit.
DT76-18434,ancien hameau de Bléville.,anc. hameau de Bléville.
DT76-18651,anciennement à Saint-Georges-sur-Fontaine.,anc. à Saint-Georges-sur-Fontaine.
DT76-18667,communes de Notre-Dame-de-Bliquetuit et de Saint-Nicolas-de-Bliquetuit.,communes de Notre-Dame et de Saint-Nicolas-de-Bliquetuit.
DT76-18711,commune de Grainville-la-Teinturière.,commune de Grainville-le-Teinturière         .
DT76-18878,communes de Notre-Dame-de-Bliquetuit ou Saint-Nicolas-de-Bliquetuit.,communes de Notre-Dame ou Saint-Nicolas-de-Bliquetuit.
DT76-19007,commune de Saint-Léger-aux-Bois.,commune de Saint-léger-aux-Bois         .
DT76-19008,"communes d'Auzouville-sur-Ry, de Perruel (Eure) et de Vascœuil (Eure).","communes d'Auzouville-sur-Ry, de Perruel (Eure) et de Vascueil (Eure)."
DT76-19130,Sainte-Marie-des-Champs.,Sainte Marie des Champs.
DT76-19192,communes de Blainville-Crevon ou Saint-Aignan-sur-Ry.,"communes de Blainville, Crevon ou Saint-Aignan-sur-Ry."
DT76-19200,communes de Petit-Couronne et de Grand-Quevilly.,communes de Petit-Couronne et de Grand Quevilly.
DT76-19290,commune de Saint-Jouin-Bruneval.,commune de Jouin-Bruneval.
DT76-19448,commune d’Anceaumeville.,commune d'Ancemeauville         .
DT76-19523,communes de Saint-Martin-l'Hortier et de Neufchâtel-en-Bray.,communes de Saint Martin-l'Hortier et de Neufchâtel-en-Bray.
DT76-19745,commune de Saint-Nicolas-de-Bliquetuit.,commune de Saint-Nivolas-de-Bliquetuit         .
DT76-20257,"communes de Boos, Notre-Dame-de-Franqueville ou Saint-Pierre-de-Franqueville.","communes de Boos, Notre-Dame ou Saint-Pierre-de-Franqueville."
DT76-20332,près de la commune d’Anglesqueville-la-Bras-Long.,près de la commune d'Anglesqueville-la-Bras-long         .
DT76-20394,communes de Beaurepaire et de Saint-Jouin-Bruneval.,communes de Beaurepaire et de Saint-Jouin-sur-Mer.
DT76-20421,commune d’Auzouville-sur-Saâne.,commune d'Auzouville-sur-Saône         .
DT76-20546,commune de Thiouville.,commune de Thieuville         .
DT76-20603,commune de Rolleville.,commune de Rollenville         .
DT76-20606,communes de Saint-Paër ou de Saint-Pierre-de-Varengeville.,communes de Saint-Paër ou de Saint-Pierre de Varengeville.
DT76-20866,"paroisses de Saint-Denis-de-Lillebonne et de Saint-Sylvestre, actuellement ","paroisses de Saint-Denis de Lillebonne et de Saint Sylvestre, actuellement "
DT76-20877,commune de Grainville-la-Teinturière.,commune de Grainville-La-Teinturière         .
DT76-21032,commune de Bailly-en-Rivière ?.,commune de Bailly-(en-Rivière ?)         .
DT76-21131,"communes de Notre-Dame-du-Parc, Gonneville-sur-Scie et Saint-Crespin.","communes de Notre-Dame du Parc, Gonneville-sur-Scie et Saint-Crespin."
DT76-21162,"communes de La Gaillarde, de Saint-Pierre-le-Viger et de Saint-Pierre-le-Vieil.","communes de La Gaillarde, de Saint-Pierre-le-Vigier et de Saint-Pierre-le-Vieil."
DT76-21238,commune de Tourville-la-Rivière.,commune de Tourville-La-Rivière         .
DT76-21564,commune d’Etaimpuis.,commune d'Etainpuis         .
DT76-21644,communes de Notre-Dame-de-Bliquetuit ou Saint-Nicolas-de-Bliquetuit.,communes de Notre-Dame ou Saint-Nicolas-de-Bliquetuit.
DT76-21646,"communes d'Epinay-sur-Duclair, de Saint-Paër, de Sainte-Marguerite-sur-Duclair et de Duclair.","communes d'Epinay-sur-Duclair, de Saint-Paër, de Sainte-Marguerite sur Duclair et de Duclair."
DT76-21660,"communes d'Osmoy, Saint-Valery-sous-Bures et Maintru réunies par ord. roy. du ","communes d'Osmoy, Saint Valery-sous-Bures et Maintru réunies par ord. roy. du "
DT76-21675,communes de Saint-Aubin-de-Crétot et de Saint-Gilles-de-Crétot et de Saint-Nicolas-de-la-Haie.,communes de Saint-Aubin et de Saint-Gilles de Crétot et de Saint-Nicolas-de-la-Haie.
DT76-21679,"paroisses de Notre-Dame-de-Gravenchon ou de Saint-Georges-de-Gravenchon, ","paroisses de Notre-Dame ou de Saint-Georges-de-Gravenchon, "
DT76-21679,commune Notre-Dame-de-Gravenchon.,commune N.-D.-de-Gravenchon.
DT76-21842,"communes de Sotteville-les-Rouen, de Saint-Etienne-du-Rouvray et de Petit-Quevilly et Grand-Quevilly.","communes de Sotteville-les-Rouen, de Saint-Etienne-du-Rouvray et de Petit- et Grand-Quevilly."
DT76-21845,"communes de Roumare, de Barentin et de Saint-Jean-du-Cardonnay, et ","communes de Roumare, de Barentin et de Saint-Jean-du Cardonnay, et "
DT76-21899,communes de Notre-Dame-de-Bliquetuit ou Saint-Nicolas-de-Bliquetuit.,communes de Notre-Dame ou Saint-Nicolas-de-Bliquetuit.
DT76-21967,commune de Fontaine-en-Bray.,commune de Fontenay-en-Bray         .
DT76-22292,communes d'Heugleville-sur-Scie ou Hugleville-en-Caux.,communes d'Heugleville-sur-Scie ou Heugleville-en-Caux.
DT76-22354,commune de Notre-Dame-de-Franqueville.,commune de N.-D.-de-Franqueville         .
DT76-22579,commune de Colmesnil-Manneville.,commune de Colleville-Manneville         .
DT76-22742,commune de Sainte-Adresse.,commune de Saint-Adresse         .
DT76-22793,communes de Cottévrard et Critot.,communes de Cottevrard et Critot.
DT76-22856,commune de La Mailleraye-sur-Seine.,commune de La Maillaraye-sur-Seine.
DT76-22944,commune de Saint-Martin-de-Boscherville.,commune de Saint-Georges-de-Boscherville         .
DT76-23034,communes de Manneville et de Saint-Riquier-ès-Plains.,communes de Manneville et de Saint Riquier-ès-Plains         .
DT76-23147,"communes de Néville, Crasville-la-Mallet et Drosay ; ",communes de Néville-Crasville-la-Mallet et Drosay ; 
DT76-23334,commune de Boisguillaume.,commune de Boisguillame         .
DT76-23468,communes de Grand-Quevilly ou Petit-Quevilly.,communes de Grand- ou Petit-Quevilly.
DT76-23554,commune d’Allouville-Bellefosse.,commune d'Alouville-Bellefosse.
DT76-23562,communes de Lillebonne et de Notre-Dame-de-Gravenchon.,communes de Lillebonne et de Notre-Dame de Gravenchon.
DT76-23593,commune de Compainville.,commune de Campainville         .
DT76-23621,commune de Fontaine-la-Mallet.,commune de Fontaine-La-Mallet         .
DT76-23669,"communes de Roumare, de Maromme, de Saint-Martin-de-Boscherville et d'Hénouville.","communes de Roumare, de Maromme, de Saint-Martin de Boscherville et d'Hénouville."
DT76-23746,commune de Rouxmesnil-Bouteilles.,commune de Roumesnil-Bouteilles.
DT76-23818,communes de Notre-Dame-de-Bliquetuit ou Saint-Nicolas-de-Bliquetuit.,communes de Notre-Dame ou Saint-Nicolas-de-Bliquetuit.
DT76-23883,commune de Saint-Martin-l’Hortier (,commune de Saint-Aubin-l'Hortier          (
DT76-23940,communes de Notre-Dame-de-Bliquetuit ou de Saint-Nicolas-de-Bliquetuit.,communes de Notre-Dame ou de Saint-Nicolas-de-Bliquetuit.
DT76-23989,commune de Criquiers.,commune de Criquier         .
DT76-24011,commune de Beauvoir-en-Lyons.,commune de Bauvoir-en-Lyons         .
DT76-24168,commune de Notre-Dame-de-Bondeville.,commune de N.-D.-de-Bondeville         .
DT76-24207,paroisse de Saint-Riquier-ès-Plains.,paroisse de Saint-Riquier-es-Plains.
DT76-24237,communes de Lanquetot et de Bolleville.,communes de Lanquetot et de Belleville.
DT76-24261,communes de Notre-Dame-de-Bliquetuit ou Saint-Nicolas-de-Bliquetuit.,communes de Notre-Dame ou Saint-Nicolas-de-Bliquetuit.
DT76-24409,commune de Nolleval.,commune de Nelleval.
DT76-24478,commune de Bermonville.,commune de Barmonville         .
DT76-24521,communes d'Hugleville-en-Caux et d'Emanville.,communes d'Heugleville-en-Caux et d'Emanville.
DT76-24544,"communes de Fresles et de Bully, ","communes de Freses et de Bully, "
DT76-24546,haute forêt d'Eu.,Haute Forêt d'Eu.
DT76-24551,commune de Touffreville-la-Corbeline.,commune de Toufreville-la-Corbeline         .
DT76-24591,communes d'Ancourt et de Sauchay.,communes d'Ancourt et de Sauchy.
DT76-24614,communes de Melleville et de Villy-le-Bas.,communes de Melleville et de Willy-le-Bas.
DT76-24649,commune de Fresquiennes.,commune de Fesquiennes         .
DT76-24807,communes de Criquetot-l’Esneval et d'Anglesqueville-l'Esneval.,communes de Criquetot et d'Anglesqueville-l'Esneval.
DT76-24834,commune de Saint-Ouen-sous-Bailly.,commune de Saint-Ouen-sous-Boully         .
DT76-24899,Fongueusemare à Criquetot-l'Esneval.,Fongueusemare à Criquetot l'Esneval.
DT76-24981,"communes de Torcy-le-Grand, de Muchedent.","communes de Torcy-le-Gard, de Muchedent."
DT76-25104,commune de Carville-la-Folletière.,commune de Cauville-la-Folletière         .
DT76-25362,communes de Notre-Dame-de-Bliquetuit ou Saint-Nicolas-de-Bliquetuit.,communes de Notre-Dame ou Saint-Nicolas-de-Bliquetuit.
DT76-25367,communes de Mesnil-Reaume et de Monchy-sur-Eu.,communes de Mesnil-Riaume et de Monchy-sur-Eu.
DT76-25441,communes de Grand-Quevilly ou de Petit-Quevilly.,communes de Grand- ou de Petit-Quevilly.
DT76-25514,"sud-ouest de Rouen, tire son nom de ","est de Rouen         , tire son nom de "
DT76-25591,communes de la Mailleraye-sur-Seine ou de Notre-Dame-de-Bliquetuit ou Saint-Nicolas-de-Bliquetuit.,communes de la Mailleraye-sur-Seine ou de Notre-Dame ou Saint-Nicolas-de-Bliquetuit.
DT76-25666,communes de Notre-Dame-de-Bliquetuit ou Saint-Nicolas-de-Bliquetuit.,communes de Notre-Dame ou Saint-Nicolas-de-Bliquetuit.
DT76-25803,communes de Notre-Dame-de-Bliquetuit et de Saint-Nicolas-de-Bliquetuit.,communes de Notre-Dame et de Saint-Nicolas-de-Bliquetuit.
DT76-25817,commune de Martainville-Epreville.,commune de Manneville-Epreville.
DT76-25847,commune limitrophe de La Bellière.,commune limitrophe de la Bellière.
DT76-25872,Saint-Saens.,            Saint-Saëns         .
DT76-26234,"communes de Limesy, Mesnil-Panneville et Pavilly, affluent de droite de l'Austreberthe.","communes de Limesy, Mesnil Panneville et Pavilly, affluent de droite de l'Austreberthe."
DT76-26420,canton de Saint-Saëns.,canton de Saint-Sanës.
DT76-26510,canton de Bolbec.,canton de Bilboc.
DT76-26607,commune de Beautot.,commune de Bautot         .
DT76-26763,"communes de Notre-Dame-de-Bliquetuit ou Saint-Nicolas-de-Bliquetuit, ","communes de Notre-Dame- ou Saint-Nicolas-de-Bliquetuit, "
DT76-26904,commune d’Auzouville-l’Esneval.,commune d'Auzouville-l'Eneval         .
DT76-26947,communes de Saint-Vincent-Cramesnil et Saint-Vigor-d’Ymonville au ,communes de Saint-Vincent-Cramesnil et Saint-Victor-d'Ymonville au 
DT76-27024,communes de Notre-Dame-de-Bliquetuit ou Saint-Nicolas-de-Bliquetuit.,communes de Notre-Dame ou Saint-Nicolas-de-Bliquetuit.
DT76-27115,"commune de Bosc-Guérard-Saint-Adrien, autrefois ","commune de Saint-Adrien-du-Bosc-Guérard         , autrefois "
DT76-27117,du Saussay et de Saint-Martin-aux-Arbres.,communes du Saussay et de Saint-Martin-aux-Arbres         .
DT76-27191,commune d’Haussez.,commune d'Haussey         .
DT76-27214,communes de Notre-Dame-de-Bliquetuit ou Saint-Nicolas-de-Bliquetuit.,communes de Notre-Dame ou Saint-Nicolas-de-Bliquetuit.
DT76-27230,commune d’Hautot-le-Vatois.,commune d'Hautot-le-Vautois         .
DT76-27528,commune de Saint-Vaast-d’Équiqueville.,commune de Saint-Waast-d'Équiqueville         .
DT76-27535,paroisse de Saint-Jouin-Bruneval.,paroisse de Saint Jouin-Bruneval.
DT76-27551,commune de Grumesnil.,commune de Crumesnil         .
DT76-27679,commune de Saint-Ouen-sous-Bailly.,commune de Saint-Ouen-sur-Bailly         .
DT76-27766,région de Saint-Victor-l'Abbaye et Vassonville.,région de Saint-Victor-l'Abbaye-Vassonville         .
DT76-27792,commune de Saint-Nicolas-de-la-Haye.,commune de Saint-Nicolas-de-La-Haye         .
DT76-27809,communes de Manneville-la-Goupil ou de Bornambusc.,communes de Manneville-la-Goupil ou de Bornanbusc.
DT76-27888,communes de Grandcamp et Saint-Nicolas-de-la-Haye.,communes de Grandcamp et Saint-Nicolas-de-La-Haye.
DT76-27895,"communes d'Ouainville, Criquetot-le-Mauconduit et Theuville-aux-Maillots.","communes d'Ouainville, Criquetot le Mauconduit et Theuville aux Maillots."
DT76-27948,communes de Grandcamp et Saint-Nicolas-de-la-Haye.,communes de Grandcamp et Saint-Nicolas-de-La-Haye.
DT76-28218,Saint-Pierre-de-Jonquieres par ord. roy. du ,            Saint-Pierre-de-Jonquières          par ord. roy. du 
DT76-29084,commune de Froberville.,commune de Forberville         .
DT76-29148,commune de Mesnil-Follemprise,commune de Mesnil-Follenpriset               
DT76-29299,commune de Canville-les-Deux-Eglises.,commune de Canville-les-deux-Eglises         .
DT76-29334,commune d’Ecretteville-les-Baons.,commune d'Ecretteville-es-Baons         .
DT76-29364,commune de Saint-Ouen-sous-Bailly.,commune de Saint-Ouen-sur-Bailly         .
DT76-29371,communes de Flamanville et d'Ecalles-Alix.,communes de Flammanville et d'Ecalles-Alix.
DT76-29597,Bonsecours et Notre-Dame-de-Franqueville.,Bonsecours et N.-D.-de-Franqueville.
DT76-29603,communes de Saint-Georges-sur-Fontaine et Fontaine-le-Bourg.,communes de Saint-Georges-sous-Fontaine et Fontaine-le-Bourg.
DT76-29656,commune Saint-Riquier-ès-Plains.,commune Saint-Riquier-es-Plains.
DT76-29758,paroisses Notre-Dame et Saint-Pierre-de-Varengeville.,paroisses Notre-Dame et Saint-Pierre de Varengeville.
DT76-29783,commune d’Auzouville-sur-Saâne.,commune d'Auzouville-sur-Saân         .
DT76-29876,"paroisse de Bosc-Rocourt, ","paroisse de Bosc Rocourt, "
DT76-29972,anciennes paroisses de Notre-Dame ou Saint-Pierre de Franqueville.,anc. paroisses de Notre-Dame ou Saint-Pierre de Franqueville.
DT76-30216,"canton en basse forêt d'Eu, ","canton en Basse Forêt d'Eu, "
DT76-30226,basse forêt d'Eu.,Basse Forêt d'Eu.
DT76-30278,commune de Sotteville-sur-Mer.,commune de Sotteville-sur-mer         .
DT76-30562,communes de Jumièges et Mesnil-sous-Jumièges.,communes de Jumièges et Mesnils-sous-Jumièges.
DT76-30630,commune d’Ouville-l’Abbaye.,commune d'Ourville-l'Abbaye         .
DT76-30685,commune Saint-Martin-aux-Buneaux.,commune Martin-aux-Buneaux.
DT76-30779,commune de Tancarville.,commune de Tancarvillie         .
DT76-30814,"communes de Sainte-Marguerite-sur-Fauville, Saint-Pierre-Lavis, Normanville et Thiouville.","communes de Sainte-Marguerite-sur-Fauville, Saint-Pierre-Lavis, Normanville et Thionville."
DT76-30843,commune La Gaillarde.,commune la Gaillarde.
DT76-30926,communes de Cléon et Saint-Aubin-les-Elbeuf.,communes de Cléon et Saint-Aubin-sur-Elbeuf.
DT76-30999,commune d’Ecretteville-les-Baons.,commune d'Ecretteville-es-Baons         .
