article_id,vedette,localisationde,dpt_code,canton_code,localisationco,insee_code,method,origine,NCCENR
PO7-00128,Arbignieu,Ain,DEP_01,Belley,none,01015,exact,sansloc,Arbignieu
PO7-02629,Pézieux,Ain,DEP_01,Belley,Arbignieu,01015,exact,avecloc,Arbignieu
PO7-00129,Arbin,Savoie,DEP_73,Montmélian,none,73018,exact,sansloc,Arbin
PO7-00130,Arbois,Jura,DEP_39,none,none,39013,exact,sansloc,Arbois
PO7-00732,Changin,Jura,DEP_39,Arbois,Arbois,39013,exact,avecloc,Arbois
PO7-00131,Arbusigny,Haute-Savoie,DEP_74,Reignier,none,74015,exact,sansloc,Arbusigny
PO7-00132,Arc,none,none,none,none,none,nulle,sansloc,none
PO7-03661,Senans,Doubs,DEP_25,Quingey,Arc-et-Senans,25021,exact,avecloc,Arc-et-Senans
PO7-00133,Arcens,Ardèche,DEP_07,Saint-Martin-de-Valamas,none,07012,exact,sansloc,Arcens
PO7-00134,Arcey,Doubs,DEP_25,l’Isle-sur-le-Doubs,none,21018,exact,sansloc,Arcey
PO7-00135,Archamps,Haute-Savoie,DEP_74,Saint-Julien-en-Genevois,none,74016,exact,sansloc,Archamps
PO7-00137,Arcine,Haute-Savoie,DEP_74,Frangy,none,none,nulle,sansloc,none
PO7-00142,Arenthon,Haute-Savoie,DEP_74,la Roche,none,74018,exact,sansloc,Arenthon
PO7-00145,Argentine,Savoie,DEP_73,Aiguebelle,none,73019,exact,sansloc,Argentine
PO7-00832,Chaudanne,Savoie,DEP_73,Aiguebelle,Argentine,73019,exact,avecloc,Argentine
PO7-00146,Argis,Ain,DEP_01,Saint-Rambert,none,01017,exact,sansloc,Argis
PO7-00147,Argonnex,Haute-Savoie,DEP_74,Annecy,none,none,nulle,sansloc,none
PO7-00149,Arinthod,Jura,DEP_39,none,none,39016,exact,sansloc,Arinthod
PO7-00151,Arith,Savoie,DEP_73,Châtelard,none,73020,exact,sansloc,Arith
PO7-00152,Arlay,Jura,DEP_39,Bletterans,none,39017,exact,sansloc,Arlay
PO7-00153,Arlebosc,Ardèche,DEP_07,Saint-Félicien,none,07014,exact,sansloc,Arlebosc
PO7-00154,Arlempdes,Haute-Loire,DEP_43,Pradelles,none,43008,exact,sansloc,Arlempdes
PO7-00156,Arlod,Ain,DEP_01,Bellegarde,none,none,nulle,sansloc,none
PO7-00157,Armix,Ain,DEP_01,Virieu-le-Grand,none,01019,exact,sansloc,Armix
PO7-00158,Armoy,Haute-Savoie,DEP_74,Thonon-les-Bains,none,74020,exact,sansloc,Armoy
