id,commune_dt,insee,type,vedette,typologie
251,Laroque-des-Albères (la Roca de l’Albera),66093,,Sant Fructuós de Roca Vella,
252,Saleilles,66189,commune,Saleilles,commune
253,Saleilles (Salelles),66189,,Anglars,
254,Salses-le-Château,66190,commune,Salses-le-Château,commune
255,Salses-le-Château (Salses),66190,,Castell Vell,
256,Salses-le-Château (Salses),66190,,Les Fonts de Salses,
257,Salses-le-Château (Salses),66190,,Garrius,
258,Salses-le-Château (Salses),66190,,Santa Coloma,
259,Salses-le-Château (Salses),66190,,Vespella,
260,Sainte-Colombe-la-Commanderie,66170,commune,Sainte-Colombe-la-Commanderie,commune
261,Sainte-Marie-la-Mer,66182,commune,Sainte-Marie-la-Mer,commune
262,Sainte-Marie-la-Mer (Santa Maria la Mar),66182,,Bigaranys,
263,Saint-André,66168,commune,Saint-André,commune
264,Saint-André (Sant Andreu de Sureda),66168,,Milanets,
265,Saint-André (Sant Andreu de Sureda),66168,,Rapasag,
266,Saint-André (Sant Andreu de Sureda),66168,,Tatzó d’Amunt,
267,Saint-Cyprien,66171,commune,Saint-Cyprien,commune
268,Saint-Cyprien (Sant Cebrià),66171,,Sant Esteve de Vilarasa,
269,Saint-Estève,66172,commune,Saint-Estève,commune
270,Saint-Estève (Sant Esteve del Monestir),66172,,Sant Mamet,
271,Saint-Estève (Sant Esteve del Monestir),66172,,Torremilà,
272,Saint-Féliu-d'Amont,66173,commune,Saint-Féliu-d'Amont,commune
273,Saint-Féliu-d'Avall,66174,commune,Saint-Féliu-d'Avall,commune
274,Saint-Féliu-d'Avall (Sant Feliu d’Avall),66174,,Sant Martí de la Riba,
275,Saint-Génis-des-Fontaines,66175,commune,Saint-Génis-des-Fontaines,commune
276,Saint-Génis-des-Fontaines (Sant Genís de Fontanes),66175,,Cabanes,
277,Saint-Génis-des-Fontaines (Sant Genís de Fontanes),66175,,Les Garrigues,
278,Saint-Génis-des-Fontaines (Sant Genís de Fontanes),66175,,Sant Miquel,
279,Saint-Hippolyte,66176,commune,Saint-Hippolyte,commune
280,Saint-Hippolyte (Sant Hipòlit),66176,,Conills,
281,Saint-Hippolyte (Sant Hipòlit),66176,,Vedeirà,
282,Saint-Jean-Lasseille,66177,commune,Saint-Jean-Lasseille,commune
283,Saint-Laurent-de-la-Salanque,66180,commune,Saint-Laurent-de-la-Salanque,commune
284,Saint-Laurent-de-la-Salanque (Sant Llorenç de la Salanca),66180,,Palasol,
285,Saint-Michel-de-Llotes,66185,commune,Saint-Michel-de-Llotes,commune
286,Saint-Michel-de-Llotes (Sant Miquel de Llotes),66185,,Montauriol,
287,Saint-Michel-de-Llotes (Sant Miquel de Llotes),66185,,Serrat d’en Jacques,
288,Saint-Michel-de-Llotes (Sant Miquel de Llotes),66185,,Valltorta,
289,Saint-Nazaire,66186,commune,Saint-Nazaire,commune
290,Saint-Nazaire (Sant Nazari),66186,,Castellar,
291,Saint-Nazaire (Sant Nazari),66186,,Muntà,
292,Le Soler,66195,commune,Le Soler,commune
293,Soler (El Soler),66195,,Campillà,
294,Soler (El Soler),66195,,Cases de Sant Pere,
295,Soler (El Soler),66195,,L’Eula,
296,Soler (El Soler),66195,,Santa Eugènia,
297,Sorède,66196,commune,Sorède,commune
298,Sorède (Sureda),66196,,Achindexi,
299,Sorède (Sureda),66196,,Bego,
300,Sorède (Sureda),66196,,Cabanill,
301,Sorède (Sureda),66196,,Coberta,
302,Sorède (Sureda),66196,,Montbran,
303,Sorède (Sureda),66196,,Nostra Senyora del Castell,
304,Sorède (Sureda),66196,,Novella,
305,Sorède (Sureda),66196,,La Vall de Sant Martí,
306,Sorède (Sureda),66196,,Santa Maria Magdalena de la Veda,
307,Tautavel,66205,commune,Tautavel,commune
308,Tautavel (Taltehull),66205,,Alentó,
309,Tautavel (Taltehull),66205,,Les Fredes,
310,Tautavel (Taltehull),66205,,Sant Martí,
311,Tautavel (Taltehull),66205,,Les Santes Puelles,
312,Tautavel (Taltehull),66205,,Torre del Far,
313,Terrats,66207,commune,Terrats,commune
314,Terrats,66207,,Cagineixi,
315,Terrats,66207,,Ventenach,
316,Théza,66208,commune,Théza,commune
317,Toulouges,66213,commune,Toulouges,commune
318,Tordères,66211,commune,Tordères,commune
319,Tordères (Torderes),66211,,Alcet,
320,Latour-Bas-elne,66094,commune,Latour-Bas-elne,commune
321,Latour-Bas-elne (la Torre del Bisbe),66094,,Martí,
322,Torreilles,66212,commune,Torreilles,commune
323,Torreilles (Torrelles),66212,,Bignemal,
324,Torreilles (Torrelles),66212,,Juhegues,
325,Torreilles (Torrelles),66212,,Mudagons,
326,Torreilles (Torrelles),66212,,Santa Eugènia de Labejà,
327,Torreilles (Torrelles),66212,,Sant Pere de Torrelles,
328,Tresserre,66214,commune,Tresserre,commune
329,Tresserre (Trasserra),66214,,Nidoleres,
330,Trouillas,66217,commune,Trouillas,commune
331,Trouillas (Trullars),66217,,Lanetell,
332,Trouillas (Trullars),66217,,Lintexet,
333,Trouillas (Trullars),66217,,Mas Déu,
334,Trouillas (Trullars),66217,,Santa Eulària,
335,Trouillas (Trullars),66217,,Sant Salvador de Cirà,
