Article,Vedette,type vedette,Candidat,INSEE,Definition,Correction,Commentaire
DT80-04493,"S. Martin de Wagny,",,"
            Neuville-sous-Corbie
         ",80212,"dép. de la 
            Neuville-sous-Corbie
         .",,
DT80-01556,"Ecce Homo,",calvaire,"
            Nolette
         ",80600,"dép. de 
            Nolette
         .",,
DT80-04690,"Salines de Nolette,",,"
            Nolette
         ",80600,"dép. de 
            Nolette
         .",,
DT80-04965,"Tour-du-Pont-Dien,",,"
            Nolette
         ",80600,"dép. de 
            Nolette
         .",,
DT80-00814,Brulots,,"
            Noyelle-sur-mer
         ",80600,"dép. de 
            Noyelle-sur-mer
         .",,
DT80-00355,"Beaval,",fief,"
            Occoches
         ",80602,"
         fief sis à 
            Occoches
         .",,
DT80-05198,"Vieil Occoches,",,"
            Occoches
         ",80602,"dép. d’
            Occoches
         .",,
DT80-02220,Grand Sèble,hameau,"
            Offignies
         ",80604,"
         hameau dép. d’
            Offignies
         , 34 habitants.",Offigny,
DT80-03105,Monnière,fief,"
            Olincourt
         ",80316,"
         fief sis à 
            Olincourt
         .",,
DT80-01110,"Chapelle Cassel,",,"
            Omiecourt
         ",non,"dép. d’
            Omiecourt
         .",,
DT80-01118,"Chapelle Milleret,",,"
            Omiecourt
         ",non,"dép. d’
            Omiecourt
         .",,
DT80-03377,"Normandie,",ferme,"
            Omiécourt
         ",80608,"
         ferme dép. de 
            Omiécourt
         , 4 habitants.",,
DT80-02791,"Maison-Thuillard,",habitation isolée,"
            Omiécourt
         ",80608,"
         habitation isolée dép. de 
            Omiécourt
         .",,
DT80-03210,"Montréal,",,"
            Omiécourt
         ",80608,"dép. d’
            Omiécourt
          (canton de Nesle).",,
DT80-01456,"David,",fief,"
            Onicourt
         ",80388,"
         fief sis à 
            Onicourt
         .",,
DT80-02198,"Grand-Marais,",,"
            Oust
         ",80613,"dép. d’
            Oust
         .",,
DT80-04942,Tombes,lieux dits,"
            Oust-Marest
         ",80613,"On trouve encore des lieux dits sous ce nom à 
            Oust-Marest
         , BAILLEUL, BUSSU-BUSSUEL, MOISLAINS, OCHANCOURT, MONS-BOUBERS, VIGNACOURT, Vers.",,
DT80-04246,"Royaumont,",fief,"
            Ouville
         ",80422,"
         fief sis à 
            Ouville
         .",,
DT80-05061,"Valines,",fief,"
            Ouville
         ",80422,"
         fief sis à 
            Ouville
         .",,
DT80-02103,"Gandarez,",fief,"
            Petit-Cagny
         ",80702,"
         fief sis au 
            Petit-Cagny
         . — Daire. Doy. de Moreuil.",,
DT80-01328,Corps-de-garde,,"
            Petit-Lavier
         ",80163,"dép. de 
            Petit-Lavier
         .",,
DT80-01329,Corps-de-garde,,"
            Petit-Port
         ",80691,"dép. de 
            Petit-Port
         .",,
DT80-04336,"Sacquespée,",fief,"
            Pinchefalise
         ",80110,"
         fief sis à 
            Pinchefalise
         .",,
DT80-00233,"Baillon,",fief,"
            Plachy
         ",80627,"
         fief sis à 
            Plachy
         .",,
DT80-03643,"Petit Plachy,",,"
            Plachy
         ",80627,"dép. de 
            Plachy
          séparée par la Selle.",,
DT80-04534,"S. Nicolas,",cense,"
            Pleinseau
         ",80021,"
         cense sise entre le château de la vallée et le 
            Pleinseau
         , au faubourg de Noyon d’Amiens jointe à la vallée en 1707. Daire. Hist. d’Am.",,
DT80-04352,"Saint-Albin en Harponval,",,"
            Plessier-Rozainviller
         ",80628,"dép. de 
            Plessier-Rozainviller
         .",Plessier-Rozainvillers,
DT80-04853,Temple,lieu dit,"
            Poireauville
         ",80780,"dép. de 
            Poireauville
         .",,
DT80-03966,Queute,fief,"
            Ponches
         ",80631,"
         fief sis à 
            Ponches
         .",,
DT80-01675,"Estruval,",,"
            Ponches
         ",80631,"dép. de 
            Ponches
         , 61 habitants.",,
DT80-03296,"Moulinel,",,"
            Ponches-sur-Authie
         ",80631,"dép. de 
            Ponches-sur-Authie
         .",,
DT80-04622,"S. Vast,",lieu dit,"
            Pont-Noyelles
         ",80634,"
         lieu dit à 
            Pont-Noyelles
         .",,
DT80-03466,"Noyelles,",,"
            Pont-Noyelles
         ",80634,"dép. de 
            Pont-Noyelles
         .",,
DT80-01493,"Donville,",habitation,"
            Pont-Querrieux
         ",80634,"
         habitation dép. de 
            Pont-Querrieux
          donné par l’abbé de St.-Vast au prieuré de St.-Laurent, en 1152. — N’existe plus.",,
DT80-01595,Enholt.,Lieu inconnu,"
            Ponthieu
         ",non,"
         Lieu inconnu en 
            Ponthieu
          dép. de l’abb. de Forestmontiers.",,
DT80-03526,"Outeris,",lieu inconnu,"
            Ponthieu
         ",non,"
         lieu inconnu en 
            Ponthieu
         .",,
DT80-01646,"Ermes,",lieu inconnu,"
            Ponthieu
         ",non,"
         lieu inconnu en 
            Ponthieu
         . — En 1221, Philippe-Auguste confirma la coutume de cette commune.",,
DT80-02284,"Guiverval,",lieu inconnu,"
            Ponthieu
         ",non,"
         lieu inconnu sis en 
            Ponthieu
         .",,
DT80-03379,"Norum,",lieu inconnu,"
            Ponthieu
         ",non,"
         lieu inconnu, sis en 
            Ponthieu
         .",,
DT80-02910,Marquenterre.,Partie,"
            Ponthieu
         ",non,"
         Partie du 
            Ponthieu
          formée d’alluvions modernes et qui était comprise entre l’Authie au Nord, la mer à l’Ouest, l’ancien lit de la Somme au Sud et que limite assez bien à l’Est le chemin de fer de Boulogne. On a cru à une ville de ce nom, à cause de la charte concédée aux habitants de Marquenterre en 1197 par Guillaume de Ponthieu, charte remarquable, 27dit M. Louandre, en ce sens qu’elle est accordée non pas à une ville, non pas à un bourg, mais à un canton tout entier. Louandre. Hist. d’Abb. et du Ponthieu. I, 182.",,
DT80-01472,"Diglitis,",village,"
            Ponthieu
         ",non,"
         village du 
            Ponthieu
         . — Inconnu.",,
DT80-02890,"Maregni,",,"
            Ponthieu
         ",non,"en 
            Ponthieu
         . (Lieu inconnu.)",,
DT80-01591,"Engenolcourt,",,"
            Ponthieu
         ",non,"en 
            Ponthieu
         . 1134. — Lieu inconnu.",,
DT80-00632,"Bosquet Godin,",bois,"
            Popincourt
         ",80233,"
         bois dép. de 
            Popincourt
         .",,
DT80-02168,"Goulant,",fief,"
            Popincourt
         ",80233,"
         fief sis à 
            Popincourt
         .",,
DT80-03475,"Ococh,",fief,"
            Popincourt
         ",80233,"
         fief sis à 
            Popincourt
         .",,
DT80-04895,"Tillette,",fief,"
            Port
         ",80637,"
         fief sis à 
            Port
         .",,
DT80-03501,"Orengeville,",,"
            Port
         ",80637,"ancien nom de 
            Port
         . D. Grenier.",,
DT80-03316,"Musard,",fief,"
            Pottes
         ",80638,"
         fief sis à 
            Pottes
         .",,Commune non identifiée (art. 80-03834)
DT80-04179,"Ronquerolles,",fief,"
            Pottes
         ",80638,"
         fief sis à 
            Pottes
         .",,
DT80-04583,"S. Quentin,",chapelle,"
            Quiquery
         ",80465,"
         chapelle dép. de 
            Quiquery
         .",,
DT80-03920,"Quartier du baudet vert,",,"
            Quiquery
         ",80465,"dép. de 
            Quiquery
         .",,
DT80-03652,"Petit-Raineval,",fief,"
            Raineval
         ",80499,"
         fief sis à 
            Raineval
         .",,
DT80-01384,"Couture de long feu,",ferme,"
            Rainneville
         ",80661,"
         ferme dép. de 
            Rainneville
         .",,
