article_id,vedette,vedette_orig,localisationco,localisationco_orig,NCCENR_orig,insee_code,id,old-id,label,definition_typologie,definition_localisation,insee,method_dicotopo,localisationde,dpt_code,canton_code,method,reference
PO8-00465,Dane,Dane,Barben,la Barben,Barben,Barben (13009),,,,,,,nulle,Bouches-du-Rhône,13,Salon,dpt_exact_simple,     Dane     Bouches du Rhône     con de Salon     cne de la Barben       Adana  eccl   11 c  23 e  37 c  43 c    
PO8-00466,Dauphin,Dauphin,none,none,Dauphin,Dauphin (04068),,,,,,,nulle,Basses-Alpes,04,Forcalquier,dpt_exact,     Dauphin     Basses Alpes     con de Forcalquier       Dalfinum  123 d e  capellanus  120 c  eccl   117 f      Dalphinum  116 d      Delphinum  eccl   127 d    
PO8-00467,Delestrac,Delestrac,Cucuron,Cucuron,Cucuron,Cucuron (84042),,,,,,,nulle,Vaucluse,84,Cadenet,dpt_exact,     Delestrac ou Estrac  l       Vaucluse     con de Cadenet     cne de Cucuron       Beata Maria de Astrictis  eccl   46 d      Beata Maria als Estretz prope Ansoisium  eccl   13 e      Sanct Maria a l Estier  eccl   28 d      Sancta Maria de Oltrez  eccl   39 g    
PO8-00468,Demandolx,Demandolx,none,none,Demandolx,Demandolx (04069),,,,,,,nulle,Basses-Alpes,04,Castellane,dpt_exact,     Demandolx     Basses Alpes     con de Castellane       Demandolis  294 a      Domandoli  eccl   290 c      Mandoli  eccl   292 e    
PO8-00470,Desert,Désert,Chatillon Desert,Châtillon-le-Désert,,05035,P24911671,DT05-03052,Desert  Le  ,hameau,commune de Chatillon-le-Désert,05035,localisationco_fuzzy,,,,,
PO8-00471,Deux Freres,Deux-Frères,Broc,Broc,Broc,Broc (06025),,,,,,,nulle,Alpes-Maritimes,06,Vence,dpt_exact,     Deux Frères     Alpes Maritimes     con de Vence     cne du Broc       Duo Fratres  298 a  eccl   299 d  prior  301 b    
PO8-00472,Dezeaumes,Dezeaumes,Arles,Arles,Arles,Arles (13004),,,,,,,nulle,Bouches-du-Rhône,13,Arles,dpt_exact,     Dezeaumes  étang de      Bouches du Rhône     con d Arles     cne d Arles       Duobus Emis  stagnum de   138 c    
PO8-00474,Digne,Digne,none,none,,Digne Bains (04070) - Digne-les-Bains,,,,,,,nulle,Basses-Alpes,04,none,dpt_fuzzy,     Digne     Basses Alpes       Dignensium  Diniensium civitas  administratores capituli  255 c  archidiaconus  255 a  capitulum  255 c  259 b  diocèse  255  episcopus  255 a  257 d  258  precentor  256 a  prepositus  255 a  sacrista  255 a    
PO8-00475,Donzere,Donzère,none,none,Donzère,Donzere (26116),,,,,,,nulle,Drôme,26,Pierrelatte,dpt_exact,     Donzère     Drôme     con de Pierrelatte       Duzera  capellania Beati Jacobi  229 c  capellania Beati Johannis Baptiste  229 c  capellania Beatorum Andree et Marie Magdalenes  229 c  curatus  229 b  eccl   229 b  prior  229 b  sacrista  229 b    
PO8-00476,Dourbes,Dourbes,none,none,,04070,,,,,,,nulle,Basses-Alpes,04,Digne,nulle,     Dourbes  les      Basses Alpes     con de Digne       Durbe  capellanus  257 c  259 d  prebenda  255 b    
PO8-00477,Douzard,Douzard,Vitrolles,Vitrolles,Vitrolles,Vitrolles (05184),,,,,,,nulle,Hautes-Alpes,05,Barcillonnette,dpt_exact,     Douzard     Hautes Alpes     con de Barcillonnette     cne de Vitrolles       Dausardum  prior  83 c  91 e      Dousardum  capellanus  78 g      Lausardum  prior  131 a    
PO8-00478,Dragon,Dragon,Draguignan,Draguignan,Draguignan,Draguignan (83050),,,,,,,nulle,Var,83,Draguignan,dpt_exact,     Dragon     Var     con de Draguignan     cne de Draguignan       Dragonum  prioratus  66 d    
PO8-00479,Draguignan,Draguignan,none,none,Draguignan,Draguignan (83050),,,,,,,nulle,Var,83,none,dpt_exact,     Draguignan     Var       Draguignanum  60 a  hospitale  68 e  prebende  63 a  vicaria  67 f    
PO8-00480,Draix,Draix,none,none,Draix,Draix (04072),,,,,,,nulle,Basses-Alpes,04,la Javie,dpt_exact,     Draix     Basses Alpes     con de la Javie       Dracium  capellanus  259 e      Drays  256 var  l      Draysium  capellanus  256 d    
PO8-00481,Drap,Drap,none,none,Drap,Drap (06054),,,,,,,nulle,Alpes-Maritimes,06,Contes,dpt_exact,     Drap     Alpes Maritimes     con de Contes       Drap  278 f  280 a    
PO8-00482,Dulion,Dulion,Sauveur,Saint-Sauveur,,26329,,,,,,,nulle,Drôme,26,Buis-les-Baronnies,dpt_fuzzy,     Dulion     Drôme     con de Buis les Baronnies     cne de Saint Sauveur       Dillon  eccl   114 d    
PO8-00483,Durance,Durance,none,none,,,,,,,,,nulle,none,none,none,nodpt_fuzzy,     Durance  la      affluent de gauche du Rhône       Durancia  Durantia  30  31  32  33  38  72 c  76  80 e  97 c    
PO8-00484,Durbon,Durbon,Saint Julien en Beauchene,Saint-Julien-en-Beauchêne,Saint-Julien-en-Beauchêne,Saint Julien en Beauchene (05146),,,,,,,nulle,Hautes-Alpes,05,Aspres-sur-Buëch,dpt_exact,     Durbon     Hautes Alpes     con d Aspres sur Buëch     cne de Saint Julien en Beauchêne       Durbonum  85 var  c    
PO8-00485,Eguilles,Éguilles,none,none,Éguilles,Eguilles (13032),,,,,,,nulle,Bouches-du-Rhône,13,Aix,dpt_exact,     Éguilles     Bouches du Rhône     con d Aix       Aculea  2 c  3 a  4 a  eccl   42 g      Acculea  eccl   22 d  30 b  33 b  34 b  36 h  prior  33 b  rector  33 b  Sanctus Anthonius  eccl   22 d    
PO8-00486,Embrian,Embrian,Montauroux,Montauroux,Montauroux,Montauroux (83081),,,,,,,nulle,Var,83,Fayence,dpt_exact,     Embrian  Notre Dame d       Var     con de Fayence     cne de Montauroux     à Tournon       Embrianum  59 a  prioratus  67 e    
